,topic_01,topic_02,topic_03,scenario_r2,evidence_r2
0,121,193,031,0.0039661777959285605,0.01675105309734848
1,110,099,019,0.0029974503742895564,0.03017593403547736
2,133,048,153,0.006144068778172307,0.02031645412852512
3,123,039,062,0.023348455233337506,0.01654952744583893
4,193,067,103,0.006448084617214356,0.008207385928274524
5,195,141,057,0.023632144556203882,0.04089012660866986
6,196,192,103,0.0032102602826271642,0.010920746809436
7,064,131,052,0.008888190990834155,0.005991217120883463
8,013,195,140,0.019090900917090203,0.011306203398588788
9,042,132,118,0.004020026921187192,0.012783189420261687
10,057,006,155,0.0018515332070745405,0.002665686417751556
11,133,061,157,0.008024196869977795,0.005115902181273002
12,051,033,070,0.02662451364457663,0.01742496541384475
13,047,079,027,0.011241166851794215,0.04712064063696053
14,000,087,005,0.0016594531977146554,0.007100260342198905
15,183,071,080,0.0007504945878777924,0.0009177950248686617
16,149,158,036,0.005265709861300705,0.004511903108813886
17,055,080,107,0.006393831196525812,0.046486367869896794
18,088,190,064,0.008892123985703715,0.02295615121569572
19,065,101,177,0.016661932148970826,0.12569366462624665
20,140,036,081,0.0004820564359186985,0.003175487783993125
21,106,131,103,0.0032684282654531494,0.0060749545058833565
22,140,171,077,0.0014793498781946468,0.08113396550568064
23,134,091,004,0.009855310839184783,0.08375722789037332
24,016,042,129,0.001586543751038283,0.0005022858113683526
25,188,023,064,0.0032227475185344634,0.07005894675446811
26,080,007,104,0.00018063232011233943,0.012513632196682112
27,038,058,040,0.00043634184465501935,0.003264839262438035
28,182,144,091,0.0029138978557512463,0.01852587557055363
29,097,094,080,0.00884238036917373,0.007819928045600943
30,137,198,057,0.004479698579293534,0.00745723622556449
31,114,022,063,0.013655797862770935,0.09477447287370488
32,067,083,082,0.009013615911382611,0.015558956246472189
33,118,089,001,0.00025827415344947813,0.07913932574330451
34,161,170,048,0.002918737853026987,0.019963874316904273
35,031,140,116,0.002915071381594414,0.0015697941528551862
36,176,133,106,0.008709322993872837,0.0038640450395719395
37,113,149,007,0.0024742895029866707,0.002635684333089472
38,082,015,014,0.007621988125632417,0.01274347553045363
39,057,032,096,0.002989093022955358,0.00296417303238794
40,057,042,031,0.0032182233150304107,0.0028405731340130913
41,023,040,158,0.005201594242847496,0.0685335841356528
42,074,059,160,0.009535481176235816,0.012299559861164044
43,096,032,059,0.007846175703885794,0.005923369618143437
44,182,016,046,0.0006645258017501376,0.006493632459289023
45,045,103,170,0.0004458859909984847,0.0033565338586152293
46,049,025,141,0.019612251177435924,0.02161938175264888
47,077,063,061,0.0022227198612071453,0.007143425471537235
48,075,175,005,0.005825250235940049,0.01290511773287617
49,177,006,066,0.000652149148042791,0.0026145931885031004
50,042,175,152,0.002152666091612576,0.013759328614530886
51,150,124,065,0.019906968035351413,0.032288483963471504
52,137,048,073,0.0008307196525965121,0.02003860760169529
53,149,116,000,0.0044032805001879005,0.03262798563018121
54,189,011,131,0.008576010652344923,0.027613312700620063
55,174,018,195,0.0030821865347472333,0.010728678769086009
56,109,021,138,0.008351200300025674,0.020497557399911437
57,077,184,061,0.0008794065587187649,0.005155692830588587
58,007,120,032,0.0132397364802469,0.14251745370480517
59,080,060,091,0.003365853957092102,0.009669297299168544
60,064,094,063,0.0065537067609936495,0.01349261985928718
61,003,063,168,0.0022729710665782,0.07204268926700896
62,173,041,012,0.031917652186645995,0.08092271700564713
63,157,143,136,0.055622699271470344,0.17291712034842588
64,044,188,177,0.01741308397769792,0.023873259349819653
65,045,106,120,0.0011856445375333369,0.0042225163124063325
66,056,173,066,0.03673242883318495,0.08089485374960692
67,096,033,071,0.022708324217998954,0.012739738336668194
68,087,114,089,0.004515883636679541,0.03140787195920969
69,140,123,176,0.02343049845317846,0.01760970925758587
70,060,052,042,0.0033703938713848247,0.04283672313714504
71,080,187,120,0.002708857758665917,0.07703786385896139
72,078,037,072,0.006876774965563381,0.006783078536847453
73,039,129,181,0.008861725460067582,0.0007400606928708031
74,115,049,137,0.0240133260578812,0.00942294947531186
75,063,073,072,0.014107468610228602,0.01539739315400801
76,153,023,097,0.0023249491048908943,0.0683190722419319
77,156,150,027,0.015596316214367412,0.02742559093378949
78,050,043,137,0.004969103454168455,0.030393398746020095
79,124,146,199,0.02520710936846904,0.058371381627521424
80,156,199,045,0.0031931522134384105,0.002326784781571778
81,055,038,120,0.006325771696778393,0.043599294935408706
82,120,003,085,0.01274633450414675,0.20347152946947544
83,196,023,026,0.003995412449283697,0.06534999403519925
84,115,191,149,0.026181036849686867,0.012251047841401852
85,156,060,131,0.0032592548506394925,0.008795407692087975
86,105,108,159,0.007136817842651966,0.031724727403815045
87,192,150,117,0.01587676087545642,0.02979841186879051
88,132,000,181,0.0034317633266800485,0.01749499063581672
89,127,078,079,0.005454588454376741,0.035298165122951475
90,054,068,019,0.009096748015097411,0.002453198462161188
91,167,187,011,0.00261782848885328,0.07272344226850946
92,018,073,039,0.01550306457830275,0.018831011038015544
93,008,011,065,0.006871692293538234,0.029911736023483848
94,131,188,144,0.003790935600823442,0.008170285161533508
95,062,143,081,0.015506540221422727,0.017637847487285918
96,085,067,023,0.007673234500207515,0.00955537719956534
97,184,142,183,0.004208756214037934,0.004421841099265911
98,123,181,102,0.029216565975390685,0.019019534630999257
99,069,038,183,0.0014890129647091577,0.004701416128818692
100,016,059,057,0.0032055652921754163,0.009523631313084646
101,120,130,118,0.01846088277223379,0.1423435135305665
102,014,087,190,0.0009166154739497223,0.006944809417850473
103,076,062,054,0.015243490224892575,0.01650894762482591
104,098,037,156,0.012282291474511986,0.021980253876100253
105,041,123,146,0.024298803455424567,0.01779322530636107
106,000,141,045,0.010526783683717733,0.039931845047706305
107,103,183,035,0.0007100909814286016,0.004186360743105855
108,115,131,055,0.025086810024596007,0.009279694634205526
109,190,050,196,0.007239949692990577,0.0014310731124547171
110,071,027,003,0.000572090478985654,0.005365123677638861
111,125,092,140,0.003767036817642011,0.015392016805665265
112,008,099,140,0.005383787371819437,0.011949607311123933
113,017,046,192,0.012382228431992215,0.05435643387713596
114,108,118,062,0.0007502471362224039,0.06567972697842539
115,053,149,156,0.009411797867557081,0.06750650621625398
116,193,039,036,0.0032319846902046923,0.008127772129666089
117,198,185,104,0.005481604645140359,0.009966184577225978
118,104,184,029,0.005765564383893418,0.0009459501321597008
119,165,199,105,0.004453296290401476,0.0012041627401996324
120,092,065,013,0.004232389369846601,0.06606849006021831
121,159,123,161,0.023855974606062924,0.018444281273473417
122,130,132,144,0.0046905388889072475,0.018840367940657354
123,172,097,163,0.010168321240555667,0.003213197568117221
124,012,106,040,0.0051307830313308544,0.004233107935797564
125,015,178,039,0.0007629715174883867,0.0008965594514049879
126,087,144,044,0.0031682795734894187,0.016261700451762007
127,011,166,099,0.010054225343178458,0.023870415055200378
128,107,101,060,0.017015726756586358,0.09487706330747447
129,189,164,069,0.020146939721583768,0.07274540652145622
130,187,182,181,0.0026197890367911647,0.07809664986609
131,098,049,137,0.010550674798437298,0.01703164534400181
132,149,017,094,0.010535575442668588,0.033970599094266474
133,052,048,062,0.00011502157383225242,0.04623588952314783
134,080,052,077,0.00025595517499432674,0.03964196810262144
135,064,122,063,0.006684522769536683,0.005087914879650435
136,161,062,174,0.012499958887444262,0.014512411773059841
137,077,101,074,0.019068767436319578,0.09065407173516349
138,170,058,177,0.002617496300286848,0.01781876556785922
139,106,024,102,0.012850692219901871,0.06060564941595392
140,181,104,043,0.014968049011462647,0.0042203937299859495
141,166,089,104,0.00852136215720456,0.049685245101610875
142,171,149,055,0.0022503522116636976,0.0830299804671063
143,178,151,189,0.008752254254174807,0.0245801310175342
144,085,169,050,0.003875029653964246,0.024468816784257608
145,165,172,087,0.003115378131581359,0.0035233336933777615
146,117,085,148,0.007999349095161867,0.010870724552640931
147,033,175,029,0.020871686148258073,0.026719837004306468
148,183,094,055,0.0008344109009136291,0.008205566725563829
149,165,096,064,0.0076882148534060946,0.005877609942965045
150,142,051,138,0.011867891941198416,0.012716850528559753
151,148,166,092,0.0088411503667859,0.008226210976997828
152,055,081,160,0.006367251933359519,0.04763257950415822
153,148,052,178,0.0006586982314656931,0.037504555128750394
154,055,082,056,0.012877621027557073,0.05862782192837013
155,029,096,035,0.0176263602094181,0.01076779313698284
156,054,044,196,0.023525340240737602,0.0210970266812055
157,158,032,114,0.005562917238012943,0.003759359076136559
158,178,082,006,0.007964870273412417,0.011266795188078382
159,012,120,131,0.017827848705109006,0.14273408409857158
160,155,198,026,0.03889028878999301,0.012986701569023595
161,038,061,014,0.0016865736794065,0.0018511664206385392
162,181,120,048,0.018173302985987627,0.14231196433153648
163,027,115,034,0.02271196548025156,0.014683647046339177
164,133,063,120,0.007069930389963064,0.00948652456683896
165,144,097,143,0.010180424258417031,0.014283977482699717
166,065,092,159,0.004232389369846601,0.06606849006021831
167,094,013,007,0.0005274334541944814,0.00729668314063292
168,132,148,001,0.0027536439530458923,0.013713947391887249
169,109,092,141,0.007909612065095217,0.03340964438976368
170,081,136,047,0.012169391536403174,0.029205804592605022
171,129,056,199,0.011493474265240389,0.0009962855386304037
172,053,015,042,0.008047330347839554,0.0665636603887012
173,155,183,060,0.03844912170916104,0.006544263800413064
174,181,027,184,0.009050656429674175,0.010708888445892795
175,141,049,018,0.010012601126931031,0.03938002079295788
176,119,123,055,0.028620332583005115,0.04980372771120889
177,114,078,075,0.008600396478813277,0.028049793639315923
178,050,049,164,0.004575989303817085,0.001352190832106137
179,059,187,022,0.0052165453032997355,0.08122200960822878
180,063,039,115,0.0016152115272507483,0.004819639485228899
181,146,078,196,0.022187311073709193,0.04877689471188573
182,085,039,068,0.0031770365814731694,0.008746154952796403
183,163,074,021,0.016832489819300633,0.023444717332059994
184,193,131,003,0.004869110578291536,0.008990582735550423
185,189,141,182,0.014917764418652002,0.0431729294408566
186,090,125,192,0.0004066164291540719,0.001420890925107332
187,047,195,081,0.017806431956989943,0.03141833137237615
188,123,132,034,0.025971802256070986,0.029436019103742272
189,134,014,029,0.008331236473236747,0.06986056140220342
190,012,015,159,0.004720555592006681,0.0007701441518009888
191,024,029,034,0.01806811292914423,0.05478078538697584
192,085,103,058,0.0029726181016632713,0.012028310862720715
193,025,131,037,0.02089372017649105,0.02338859189950393
194,001,177,098,0.011454375969591979,0.0033876945693441796
195,181,060,052,0.012627888446367197,0.011074529533037891
196,140,121,079,0.002109423741628591,0.005503501514019127
197,159,038,024,0.0002629040350531353,0.003015868821245382
198,075,004,102,0.0050339748502045145,0.015633794245371813
199,195,192,094,0.017927284597152315,0.016075904314108658
200,127,097,001,0.009159915693991993,0.03530085534868932
201,166,077,147,0.010185559050470805,0.007795703285946032
202,076,189,015,0.010279865894027407,0.01263130335136653
203,120,043,073,0.01265641720965871,0.1686586700335938
204,079,068,110,0.009766865985120998,0.014784072265876858
205,041,152,032,0.0016477619701562585,0.0019128921347054684
206,065,047,116,0.0012109024257316303,0.07566876575279402
207,088,081,008,0.00491602589343465,0.027474866260119413
208,032,199,131,0.004141382781331804,0.0012718053911725535
209,036,114,153,0.0037817117544135526,0.029465508393338502
210,094,000,006,0.0011556470955974563,0.013358776768963576
211,118,140,196,0.00053660215430551,0.04393389544818449
212,149,137,104,0.0025887695693470603,0.0035740711255505264
213,156,088,057,0.0048889350024108325,0.024137285245533047
214,088,036,199,0.004947567230707661,0.025029370701127096
215,011,063,146,0.0038459155729914096,0.019991168197440845
216,158,041,190,0.005931348498176003,0.004972800548502132
217,129,178,148,0.009648932073015537,0.0007636555252892308
218,163,113,125,0.011146238976731282,0.021167740617297537
219,174,007,006,0.0015478982067455016,0.010682954653634558
220,033,092,018,0.021082686717349697,0.025074914025621897
221,064,053,147,0.01420503802742401,0.06875239632709518
222,090,065,178,0.0009143203025663293,0.05212436726420189
223,161,163,012,0.01075204394733098,0.022407422476033556
224,004,152,159,0.0005994805195522757,0.016985582833904944
225,146,152,167,0.019991317548209597,0.05098106892490595
226,158,063,165,0.005621940095389633,0.008993066264878502
227,071,027,127,0.000572090478985654,0.005365123677638861
228,138,011,084,0.003478315136119181,0.017338857222775284
229,143,013,134,0.009063565550567754,0.0015624328611798521
230,072,033,183,0.018383360150690642,0.06633017180843415
231,064,098,051,0.014929629928933208,0.017877198347336143
232,062,023,070,0.013523505411524472,0.07265628293806103
233,134,097,091,0.01513682953583484,0.06995432682976543
234,172,076,167,0.0061731154586665005,0.005290643688234176
235,166,148,089,0.008841150366786121,0.008226210976997828
236,026,000,181,0.0014696299244226774,0.004705382041923167
237,098,167,102,0.010738991910106521,0.015827699372127024
238,090,085,051,0.0034806732326463363,0.009451636639663863
239,141,121,192,0.011581277416254143,0.041046146112806214
240,130,004,195,0.002514044470213417,0.02535011863315073
241,071,122,134,9.550231005794885e-05,0.0006647014489761238
242,012,120,084,0.017827848705109006,0.14273408409857158
243,182,168,163,0.002912060530392724,0.011348567536709542
244,003,053,006,0.00866413413714262,0.13158016139351258
245,083,064,188,0.010357310247693041,0.018350802387319676
246,199,049,077,0.0031391795552949686,0.0011230858141801914
247,078,152,013,0.005334843004264234,0.0012688359919201808
248,102,193,142,0.007995696844260936,0.02985591338630822
