,topic_01,topic_02,topic_03,evidence_r2
0,121,193,031,0.05851691915449875
1,110,099,019,0.027231892978542227
2,133,048,153,0.028996008407763285
3,123,039,062,0.01963087083744175
4,193,067,103,0.028995562510499395
5,195,141,057,0.018518402483701957
6,196,192,103,0.01695671489456263
7,064,131,052,0.0010816025563856746
8,013,195,140,0.036071539873121505
9,042,132,118,0.017205488224456444
10,057,006,155,0.01201737395727609
11,133,061,157,0.026843869627871775
12,051,033,070,0.010725804864266886
13,047,079,027,0.019616452366956527
14,000,087,005,0.0313214895835735
15,183,071,080,0.015594696325310742
16,149,158,036,0.024359715323644227
17,055,080,107,0.020377808388215013
18,088,190,064,0.0177621313820574
19,065,101,177,0.04982201914985418
20,140,036,081,0.004303918999370326
21,106,131,103,0.005875946331456494
22,140,171,077,0.004261525688878831
23,134,091,004,0.0355537553885249
24,016,042,129,0.006595395383208746
25,188,023,064,0.03897788199368324
26,080,007,104,0.01894147691954351
27,038,058,040,0.03536730454450221
28,182,144,091,0.03415478031008945
29,097,094,080,0.029496463135340822
30,137,198,057,0.013436412279906329
31,114,022,063,0.009699127780205208
32,067,083,082,0.0026024778720117325
33,118,089,001,0.03470594467213872
34,161,170,048,0.041360865880947895
35,031,140,116,0.019167549406032935
36,176,133,106,0.014340299584618466
37,113,149,007,0.02199290957813238
38,082,015,014,0.006331404740126612
39,057,032,096,0.005475578670108172
40,057,042,031,0.008099837296638657
41,023,040,158,0.05240177829563186
42,074,059,160,0.004476377003695076
43,096,032,059,0.006639029629977311
44,182,016,046,0.006198937668399518
45,045,103,170,0.04605092301600322
46,049,025,141,0.015268504261965687
47,077,063,061,0.006052973815507401
48,075,175,005,0.016920749174801908
49,177,006,066,0.020182434212687506
50,042,175,152,0.008655541813270218
51,150,124,065,0.043111333048317046
52,137,048,073,0.03418675054642906
53,149,116,000,0.025618091986122082
54,189,011,131,0.006312532721717168
55,174,018,195,0.01627559581703275
56,109,021,138,0.02507798038945075
57,077,184,061,0.0063761130600918925
58,007,120,032,0.013069500268062417
59,080,060,091,0.029393028899401985
60,064,094,063,0.013852903317444154
61,003,063,168,0.028406565215371105
62,173,041,012,0.008852200173268598
63,157,143,136,0.02475759618854545
64,044,188,177,0.017279731105525276
65,045,106,120,0.040861941131196455
66,056,173,066,0.02472508278576724
67,096,033,071,0.011317590440789393
68,087,114,089,0.03014730649703945
69,140,123,176,0.0211766091624761
70,060,052,042,0.007586932069372554
71,080,187,120,0.027441596935265267
72,078,037,072,0.06646096879242169
73,039,129,181,0.00519273899365158
74,115,049,137,0.01868887718530221
75,063,073,072,0.059798964835092616
76,153,023,097,0.04954676955591664
77,156,150,027,0.021039501770670488
78,050,043,137,0.022629659468998975
79,124,146,199,0.01602589227675355
80,156,199,045,0.03701232784236763
81,055,038,120,0.029542028254839092
82,120,003,085,0.0403144006836601
83,196,023,026,0.04470173510594977
84,115,191,149,0.03058944913751427
85,156,060,131,0.004682646856682626
86,105,108,159,0.005007152798779946
87,192,150,117,0.023698800655526764
88,132,000,181,0.0048533346765169405
89,127,078,079,0.023470185060249227
90,054,068,019,0.02069185390040562
91,167,187,011,0.034448587450139345
92,018,073,039,0.01509217005542196
93,008,011,065,0.032247253284516275
94,131,188,144,0.007255409447252892
95,062,143,081,0.015828453825933453
96,085,067,023,0.03940191525148784
97,184,142,183,0.0020596028493906626
98,123,181,102,0.011880201124316314
99,069,038,183,0.018656352584715763
100,016,059,057,0.0038840302409286487
101,120,130,118,0.023235136041516613
102,014,087,190,0.02099563164979168
103,076,062,054,0.017136043470416862
104,098,037,156,0.009472692321333076
105,041,123,146,0.01550823257620293
106,000,141,045,0.038222146332713036
107,103,183,035,0.013252199609452786
108,115,131,055,0.01731547342657791
109,190,050,196,0.009879248543444685
110,071,027,003,0.028963484829246156
111,125,092,140,0.009341825005421134
112,008,099,140,0.010175023705545572
113,017,046,192,0.010649886929851693
114,108,118,062,0.023430086530532246
115,053,149,156,0.0363889373652031
116,193,039,036,0.026803522771618127
117,198,185,104,0.01247713136965789
118,104,184,029,0.018584953318103947
119,165,199,105,0.018598066585636563
120,092,065,013,0.05607076019337176
121,159,123,161,0.018621510269208774
122,130,132,144,0.005040350397485627
123,172,097,163,0.027266631283820786
124,012,106,040,0.010624739769164893
125,015,178,039,0.013279018307928103
126,087,144,044,0.025974552310032872
127,011,166,099,0.010423876364347384
128,107,101,060,0.03232575343169186
129,189,164,069,0.010310187244488622
130,187,182,181,0.015389767909728125
131,098,049,137,0.013345632698935739
132,149,017,094,0.023352077921819814
133,052,048,062,0.03223993820389204
134,080,052,077,0.015184900701063597
135,064,122,063,0.0012894437187039864
136,161,062,174,0.02647625528675257
137,077,101,074,0.03156285486720878
138,170,058,177,0.03626527503599186
139,106,024,102,0.02584069744613271
140,181,104,043,0.021945492775956255
141,166,089,104,0.012920265586445545
142,171,149,055,0.02323033974319222
143,178,151,189,0.029607315801587042
144,085,169,050,0.009074018038873422
145,165,172,087,0.03326370755240471
146,117,085,148,0.01675538084001582
147,033,175,029,0.02481316846892423
148,183,094,055,0.022185939567565538
149,165,096,064,0.010742431864364965
150,142,051,138,0.0007459095939531535
151,148,166,092,0.00773098061293187
152,055,081,160,0.008312041703089523
153,148,052,178,0.011770886806623415
154,055,082,056,0.031218436480721756
155,029,096,035,0.022509266991109445
156,054,044,196,0.018947621558118022
157,158,032,114,0.02299686508496246
158,178,082,006,0.018986592782834988
159,012,120,131,0.016865236235247716
160,155,198,026,0.015293194007429123
161,038,061,014,0.021573937315530367
162,181,120,048,0.05209899364519599
163,027,115,034,0.02352666569277506
164,133,063,120,0.014828550766888493
165,144,097,143,0.014575269614494513
166,065,092,159,0.03156386438010084
167,094,013,007,0.04259835529218481
168,132,148,001,0.01958578194823002
169,109,092,141,0.0236915412699229
170,081,136,047,0.019488691853180806
171,129,056,199,0.019601691871240834
172,053,015,042,0.02916236945127837
173,155,183,060,0.004048726375180611
174,181,027,184,0.0021561936116847313
175,141,049,018,0.019219277971234017
176,119,123,055,0.021026578110216354
177,114,078,075,0.02324302808045442
178,050,049,164,0.007550592834919767
179,059,187,022,0.010696991892670815
180,063,039,115,0.009572549612889225
181,146,078,196,0.022547647143696392
182,085,039,068,0.009143672930020497
183,163,074,021,0.03324570191956844
184,193,131,003,0.043330653966807575
185,189,141,182,0.020536746102212233
186,090,125,192,0.005254036023556119
187,047,195,081,0.02214784438948514
188,123,132,034,0.01995060940975235
189,134,014,029,0.02307039561895019
190,012,015,159,0.008440030677850818
191,024,029,034,0.0359660447812401
192,085,103,058,0.033151963296465414
193,025,131,037,0.0013875537235855662
194,001,177,098,0.02220288669791559
195,181,060,052,0.0029493702973493185
196,140,121,079,0.02874613182374297
197,159,038,024,0.03454725906626499
198,075,004,102,0.03171079235011742
