,num_topics,evidence_r2,evidence_aic,evidence_bic,4,5,6
0,3,0.006533259287346049,42612.28672940736,42645.19133178289,143,190,129
1,3,0.014990006619561957,42376.203127709014,42409.10773008454,078,031,015
2,3,0.015894936629173295,42350.82060999471,42383.72521237024,068,109,035
3,3,0.041441716726245414,41624.4564125017,41657.36101487723,023,177,152
4,3,0.02920719312159159,41974.70177162603,42007.60637400156,005,068,117
5,3,0.021005268402122024,42207.040613284604,42239.94521566013,047,122,168
6,3,0.008977380632528398,42544.26228890966,42577.16689128519,198,183,096
7,3,0.0202638534019014,42227.94692343866,42260.85152581419,019,054,131
8,3,0.01847278002240138,42278.386142404735,42311.290744780265,063,098,047
9,3,0.03459914278740994,41820.89022925549,41853.79483163102,198,127,048
10,3,0.0071888780535830366,42594.05607915817,42626.960681533696,107,136,147
11,3,0.04057085798586768,41649.53440447377,41682.4390068493,155,097,058
12,3,0.01911643954699327,42260.27036129938,42293.17496367491,134,141,168
13,3,0.029962125172885656,41953.217976283646,41986.122578659175,006,132,091
14,3,0.008167345021136252,42566.825654958666,42599.730257334195,155,110,113
15,3,0.012812341164194274,42437.18934132557,42470.0939437011,108,040,155
16,3,0.007507791353072224,42585.183772726465,42618.088375101994,071,134,183
17,3,0.011022462473557537,42487.214818475055,42520.119420850584,015,166,187
18,3,0.026543844378494774,42050.36192247566,42083.26652485119,110,067,056
19,3,0.013539768930448393,42416.83247199213,42449.73707436766,055,090,096
20,3,0.00949372627539935,42529.869966248116,42562.774568623645,143,054,124
21,3,0.04280191768130548,41585.24128414654,41618.14588652207,065,015,019
22,3,0.03345308043531492,41853.65473977533,41886.55934215086,168,024,158
23,3,0.038945291953697114,41696.28475050135,41729.18935287688,121,183,163
24,3,0.00615626448205131,42622.764295738765,42655.668898114294,064,110,125
25,3,0.02649265989682492,42051.813938036525,42084.718540412054,121,037,113
26,3,0.017410680264267953,42308.25295446652,42341.15755684205,110,165,134
27,3,0.024098443340378473,42119.64857014215,42152.55317251768,000,190,163
28,3,0.018312599152046638,42282.8925828913,42315.79718526683,124,088,133
29,3,0.019026462365890784,42262.8034814104,42295.70808378593,170,104,041
30,3,0.02823085603280473,42002.461532186084,42035.36613456161,021,103,067
31,3,0.0025841096907842642,42721.846034009344,42754.75063638487,147,129,069
