,num_topics,evidence_r2,evidence_aic,evidence_bic,4,5,6,7
0,4,0.009200871345941053,42539.0335944589,42580.16434742832,041,169,046,102
1,4,0.05382669961133757,41266.3205996167,41307.45135258612,062,023,189,117
2,4,0.014896158615020805,42379.833986808946,42420.96473977836,055,137,067,166
3,4,0.028757461381638483,41988.49209877336,42029.62285174277,169,063,142,003
4,4,0.03706041621153078,41751.393630747996,41792.52438371741,167,130,165,012
5,4,0.016467770599349674,42335.74087440123,42376.871627370645,120,052,174,191
6,4,0.033018267107184474,41867.075189296724,41908.20594226614,119,088,124,094
7,4,0.02931355251175427,41972.675852989996,42013.80660595941,167,027,064,198
8,4,0.03178742346523755,41902.20446022722,41943.33521319664,188,116,073,021
9,4,0.04872472126471539,41414.83221161084,41455.962964580256,029,052,138,023
10,4,0.018685294490499493,42273.406079063454,42314.53683203287,119,185,014,182
11,4,0.033758625088364025,41845.92323127878,41887.053984248196,094,029,056,117
12,4,0.012523858077176042,42446.258145821426,42487.38889879084,160,008,165,098
13,4,0.018492143219208,42278.841176079026,42319.97192904844,052,159,158,185
14,4,0.04641132379417823,41481.90977459402,41523.04052756344,005,013,173,131
15,4,0.016330506382900345,42339.594763469395,42380.72551643881,096,172,153,083
16,4,0.0259589808386953,42067.9487843335,42109.07953730292,144,103,019,123
17,4,0.04176006261461562,41616.283202473576,41657.41395544299,034,042,199,167
18,4,0.03993583917784327,41668.80643866207,41709.937191631485,007,118,037,065
19,4,0.03438792254051459,41827.93151556975,41869.062268539165,027,102,048,032
20,4,0.013266538442925024,42425.480350077865,42466.61110304728,140,164,068,177
21,4,0.026784906579627954,42044.52221349671,42085.65296646613,188,170,042,082
22,4,0.05189470659636031,41322.652268861464,41363.78302183088,113,060,091,023
23,4,0.03661724472791905,41764.100355535615,41805.23110850503,164,193,091,104
24,4,0.05656914468109231,41186.16051318466,41227.291266154076,013,120,050,115
25,4,0.046139659599276905,41489.77606972622,41530.90682269564,101,031,141,151
26,4,0.02643430862177354,42054.46900707961,42095.59976004903,029,153,022,097
27,4,0.0234616504178653,42138.662456065445,42179.79320903486,022,138,148,053
28,4,0.022916225159261505,42154.08249471536,42195.21324768478,192,005,092,137
29,4,0.009938336220651878,42518.470987536966,42559.60174050638,061,067,057,156
30,4,0.013436047585850264,42420.73584023419,42461.86659320361,105,060,195,031
31,4,0.04229541716656282,41600.85023817286,41641.98099114228,005,156,195,091
32,4,0.033169959592686316,41862.74266868013,41903.87342164954,091,157,064,034
33,4,0.041193633491416026,41632.60258619395,41673.733339163366,101,161,031,025
34,4,0.06026277671613378,41077.82873521607,41118.95948818549,103,004,101,065
35,4,0.054939605632831956,41233.81904645345,41274.949799422866,117,023,041,044
36,4,0.020869293126787536,42211.8758462809,42253.006599250315,043,159,194,104
37,4,0.008298401250256715,42564.176198988054,42605.30695195747,063,122,027,115
38,4,0.04229084432715213,41600.98209849174,41642.112851461156,065,189,140,047
39,4,0.02032343048580465,42227.267399360484,42268.3981523299,104,191,161,192
40,4,0.019027108216736144,42263.78513667739,42304.91588964681,105,125,173,089
41,4,0.03899209080586297,41695.939785238705,41737.07053820812,004,078,149,037
42,4,0.05593318967647731,41204.769843825656,41245.90059679507,115,006,013,163
43,4,0.052849144069501586,41294.83782541994,41335.96857838936,089,118,091,151
44,4,0.02619227538627833,42061.33362771268,42102.4643806821,059,034,122,137
45,4,0.047116801658713126,41461.4715212357,41502.602274205114,110,091,173,003
46,4,0.041675736749510084,41618.71332518116,41659.84407815058,073,163,065,171
