,num_topics,evidence_r2,evidence_aic,evidence_bic,4,5,6,7,8,9
0,6,0.033156691654980364,41865.1212095082,41922.704263665386,191,006,063,142,149,012
1,6,0.033955868264794464,41842.28484350301,41899.867897660195,158,110,026,106,103,109
2,6,0.03686610111447597,41758.965367471355,41816.54842162854,053,018,159,025,096,118
3,6,0.02822500488585289,42005.62721357027,42063.21026772745,036,153,055,035,115,082
4,6,0.015129358811569515,42375.29533890663,42432.87839306382,188,018,198,159,046,026
5,6,0.0336634044625006,41850.6441490082,41908.227203165385,150,191,061,066,134,106
6,6,0.03564698167099345,41793.89915274378,41851.48220690097,143,171,101,060,106,031
7,6,0.0188456051736422,42270.893838534605,42328.47689269179,076,177,109,074,011,083
8,6,0.03369268742281206,41849.80728689549,41907.39034105268,014,085,146,171,081,043
9,6,0.04094134657574677,41641.8676842628,41699.45073841998,027,176,054,043,077,120
10,6,0.04095725848449128,41641.409498607885,41698.99255276507,153,156,103,017,123,024
11,6,0.01773425500741288,42302.15668324709,42359.73973740428,166,039,104,005,008,054
12,6,0.03694361005365643,41756.74285926126,41814.32591341845,150,110,092,117,159,188
13,6,0.0373744384464928,41744.38593076036,41801.96898491755,160,059,017,040,187,056
14,6,0.039741991390504494,41676.38142320118,41733.964477358364,092,056,073,014,036,187
15,6,0.02664272507457388,42050.556033660716,42108.1390878179,196,136,001,174,096,143
16,6,0.03744880227978864,41742.25248341697,41799.83553757415,057,097,188,012,003,189
17,6,0.011852075856844335,42467.03854994946,42524.621604106644,036,092,164,188,107,071
18,6,0.022383754529931132,42171.12754953582,42228.710603693005,051,069,033,127,083,113
19,6,0.011491792523517397,42477.105636969995,42534.68869112718,160,105,071,181,014,156
20,6,0.03308191632400781,41867.25693892104,41924.839993078225,152,109,150,082,156,040
21,6,0.03235889648887047,41887.89928145473,41945.482335611916,189,076,106,191,134,058
22,6,0.0464894597184663,41481.646424994644,41539.22947915183,159,097,123,057,050,065
23,6,0.032948042265532496,41871.080230828964,41928.66328498615,055,061,083,000,075,150
24,6,0.06122321336738057,41051.58957494639,41109.172629103574,053,023,006,188,171,119
