,num_topics,evidence_r2,evidence_aic,evidence_bic,4,5,6,7,8,9,10
0,7,0.053837499516638854,41269.00467424485,41334.81387899591,069,014,043,165,077,058,006
1,7,0.034774448289757065,41819.87416208757,41885.68336683864,096,004,107,194,153,039,172
2,7,0.05612325318457345,41202.20880833034,41268.018013081404,006,074,116,120,097,087,089
3,7,0.05795817624359778,41148.470272660044,41214.27947741111,151,087,122,013,039,134,187
4,7,0.03226776043670976,41891.49986531609,41957.30907006715,114,096,031,054,118,033,190
5,7,0.036492178930212615,41770.68450987529,41836.493714626355,070,170,018,182,042,152,150
6,7,0.04521182055289841,41519.62494298401,41585.434147735075,079,091,120,123,165,032,042
7,7,0.04656164846066502,41480.55531145645,41546.36451620752,142,159,118,067,023,071,188
8,7,0.028387204454324078,42002.01715346708,42067.826358218146,039,089,138,137,077,153,168
9,7,0.03227516910421069,41891.288444701466,41957.09764945253,008,062,189,032,061,143,119
10,7,0.0084379230355901,42563.289944176235,42629.0991489273,192,036,156,108,081,064,181
11,7,0.04398628190397158,41555.04931639817,41620.85852114923,195,088,000,103,006,035,194
12,7,0.07375509267216207,40681.45626099444,40747.265465745506,193,077,163,181,106,121,195
13,7,0.058336572907555784,41137.37532836585,41203.18453311692,132,034,089,065,053,148,195
14,7,0.04041656736181931,41657.974245964506,41723.78345071557,164,189,042,193,134,131,108
15,7,0.029992066241010695,41956.36470185765,42022.17390660872,012,084,107,075,183,035,001
16,7,0.038094790820176194,41724.71230601199,41790.52151076306,115,110,183,177,173,001,109
17,7,0.013375321146912422,42425.43494238618,42491.244147137244,113,182,063,196,131,077,000
18,7,0.0263735630343771,42059.191346118176,42125.00055086924,014,060,026,032,078,044,143
19,7,0.04305502458082555,41581.93709432539,41647.746299076454,102,099,159,108,119,101,096
20,7,0.031791555948506134,41905.085884270884,41970.89508902195,194,035,066,174,051,172,158
21,7,0.051321681224666404,41342.3373553551,41408.146560106165,056,183,071,045,107,170,191
22,7,0.02417410487900451,42121.50655248854,42187.31575723961,176,104,177,113,063,018,142
23,7,0.04631548103593075,41487.68454234594,41553.493747097,196,133,088,138,032,053,152
24,7,0.04033612260045105,41660.289281155245,41726.09848590631,069,039,004,027,198,016,091
25,7,0.041622522353143676,41623.24605390312,41689.05525865419,146,134,188,173,096,021,151
26,7,0.053370388930392365,41282.63504192541,41348.444246676474,187,065,060,178,165,133,049
27,7,0.057805828557024985,41152.9359911075,41218.745195858566,069,015,088,091,165,073,090
28,7,0.06481631400676213,40946.68825542452,41012.49746017558,048,141,029,067,143,121,038
29,7,0.03739992868563191,41744.6543802021,41810.46358495316,137,025,163,143,178,166,165
30,7,0.029883870546007718,41959.444847476116,42025.25405222718,177,035,152,026,076,043,070
31,7,0.027781237980944118,42019.23507608576,42085.044280836824,177,147,165,123,017,069,130
32,7,0.03413011245627173,41838.303058636324,41904.11226338739,155,150,044,031,081,129,083
33,7,0.059392816995949005,41106.38165545788,41172.190860208946,171,061,065,195,091,074,158
34,7,0.033778067266479916,41848.3668454262,41914.176050177266,153,071,140,163,070,137,080
35,7,0.030024652202832902,41955.43696817012,42021.24617292119,176,147,120,152,110,194,071
36,7,0.03931338515527061,41689.70466138979,41755.51386614086,146,076,098,168,087,163,043
37,7,0.049777460534954354,41387.25303147668,41453.06223622774,006,148,156,049,053,091,089
38,7,0.03500886379472401,41813.16650210566,41878.97570685673,080,090,106,049,161,012,103
39,7,0.052741847390738616,41300.9653824337,41366.774587184766,033,177,172,015,167,121,094
40,7,0.022108330690631894,42179.90643820877,42245.71564295983,077,035,155,032,104,041,109
41,7,0.027756032560397714,42019.95103004394,42085.76023479501,177,136,051,104,015,087,199
42,7,0.024501406575144213,42112.242318089375,42178.05152284044,085,199,064,174,035,171,014
43,7,0.0315362880572968,41912.365875468815,41978.17508021988,012,165,140,077,062,029,171
44,7,0.041502121847093676,41626.715220919534,41692.5244256706,106,013,171,074,069,055,108
45,7,0.05671269221760733,41184.957580143855,41250.76678489492,065,184,091,153,151,074,108
46,7,0.06911607289917909,40819.42346514094,40885.23266989201,054,057,091,017,023,185,043
47,7,0.0361011044130779,41781.891188694106,41847.70039344517,189,073,155,109,074,014,141
48,7,0.041482271107513013,41627.28714951757,41693.09635426864,081,192,085,032,127,170,137
49,7,0.03632710542230311,41775.41543102717,41841.224635778235,014,147,055,192,134,163,123
50,7,0.01490158471604408,42382.681167001596,42448.49037175266,125,036,099,022,081,082,104
51,7,0.032065645175224367,41897.2669897761,41963.076194527166,183,031,058,059,124,106,035
52,7,0.06421242166842367,40964.51545749084,41030.3246622419,031,182,013,052,120,005,170
53,7,0.03287693353877785,41874.11052887301,41939.919733624076,104,158,163,105,106,074,194
54,7,0.034552261652338156,41826.23039671064,41892.03960146171,044,108,158,170,090,037,061
55,7,0.02813945140173424,42009.05810245462,42074.867307205684,168,184,199,185,039,171,119
56,7,0.0869430450844424,40285.43128798639,40351.24049273745,097,195,188,072,133,019,091
57,7,0.04609091456386383,41494.18658524119,41559.99578999225,146,169,133,099,193,007,026
58,7,0.03557151461633401,41797.0599326936,41862.869137444664,078,064,125,012,077,053,032
59,7,0.05100013716408158,41351.6959082943,41417.505113045365,167,159,007,119,178,044,005
60,7,0.06188690453531065,41033.05859322376,41098.867797974824,059,119,065,069,193,081,011
61,7,0.05605271521380428,41204.272535212796,41270.08173996386,025,118,149,151,137,001,053
62,7,0.035011866256254076,41813.08057788987,41878.88978264094,117,061,034,050,136,176,175
63,7,0.006736680771862735,42610.63065026595,42676.439855017015,183,107,039,025,122,138,052
64,7,0.03691723014886117,41758.49903082233,41824.30823557339,196,038,174,155,012,124,008
65,7,0.04634663909926706,41486.782278424835,41552.5914831759,136,017,070,184,099,165,091
66,7,0.04861104693185492,41421.13133125496,41486.94053600603,188,006,167,073,134,155,110
67,7,0.033409574056516345,41858.89689875908,41924.70610351014,066,043,164,160,163,076,131
68,7,0.013942421062064225,42409.55703642702,42475.36624117808,190,068,011,168,147,063,153
69,7,0.04076017543209298,41648.08372526702,41713.89293001808,195,174,013,113,175,122,069
70,7,0.07022861708584827,40786.3985155383,40852.20772028936,169,060,074,099,069,109,072
71,7,0.038729816659098026,41706.474890669415,41772.28409542048,188,066,070,071,029,150,007
72,7,0.032725145035560566,41878.44447822957,41944.253682980634,098,035,042,014,099,029,199
73,7,0.025290277737835876,42089.90063587843,42155.7098406295,008,104,038,142,018,025,036
74,7,0.03263894789421973,41880.90532396096,41946.71452871202,138,141,192,194,099,066,123
75,7,0.03478332070827117,41819.620312782215,41885.42951753328,042,119,108,120,061,144,140
76,7,0.04685310412237398,41472.11211215303,41537.921316904096,134,123,164,091,042,157,085
77,7,0.04495630261295236,41527.01447664637,41592.823681397436,155,163,127,097,194,044,012
78,7,0.03610251465132408,41781.8507849048,41847.65998965586,146,134,055,196,083,069,151
79,7,0.006380073592675228,42620.54372793451,42686.35293268558,184,036,131,164,068,142,124
80,7,0.04036886351220481,41659.347088305745,41725.15629305681,110,055,178,117,177,171,153
81,7,0.02783931134966955,42017.58544524787,42083.39464999893,082,057,175,037,117,140,182
82,7,0.028077120835980796,42010.82920604554,42076.63841079661,194,183,089,177,047,041,046
83,7,0.0293372222501046,41975.00173515956,42040.810939910625,041,169,149,172,057,117,144
84,7,0.026336330502538363,42060.24739174381,42126.05659649488,041,001,026,107,177,190,196
85,7,0.06330187792245834,40991.3734228842,41057.182627635266,085,182,006,120,190,089,013
86,7,0.0605910902476422,41071.17821360719,41136.98741835826,172,071,091,075,138,161,003
87,7,0.04486798519624169,41529.56814096746,41595.37734571852,004,144,069,105,001,140,192
88,7,0.03792709639520875,41729.52634128698,41795.33554603805,161,082,122,155,038,061,130
89,7,0.08557366557212254,40326.818032161435,40392.6272369125,168,072,150,060,159,163,121
90,7,0.04574717467036382,41504.136182230846,41569.94538698191,096,105,029,118,004,044,116
91,7,0.04514788859244223,41521.47402946283,41587.28323421389,067,053,004,073,099,195,114
92,7,0.06445182814235695,40957.449436099916,41023.25864085098,070,008,113,054,193,121,007
93,7,0.06074562320814536,41066.63500218933,41132.444206940396,150,088,052,156,174,091,122
94,7,0.045607585807164286,41508.17557726683,41573.9847820179,074,003,187,151,059,168,077
95,7,0.05270917401256359,41301.91791311194,41367.727117863,001,046,166,105,121,157,182
96,7,0.04408933979686391,41552.07216227515,41617.88136702622,158,091,007,166,132,188,108
97,7,0.02309706550326418,42151.97009864553,42217.77930339659,015,189,040,161,137,107,084
98,7,0.036938005402498364,41757.90330259354,41823.71250734461,191,085,177,109,075,189,057
99,7,0.0415754288016702,41624.603038593894,41690.41224334496,049,070,075,091,198,099,102
100,7,0.03587178406183711,41788.460505911564,41854.26971066263,138,175,008,157,184,053,177
101,7,0.02658442091809554,42053.2099124444,42119.019117195465,130,146,031,038,027,032,129
102,7,0.042872701472321806,41587.198165234986,41653.00736998605,004,137,096,198,076,021,129
103,7,0.02703869450657137,42040.31906920991,42106.128273960974,189,114,140,012,036,049,034
104,7,0.02089752657710542,42214.078815055094,42279.88801980616,108,071,164,098,190,146,073
105,7,0.037269146560161004,41748.40612919874,41814.2153339498,102,061,103,153,119,083,158
106,7,0.021639961930852603,42193.13016792456,42258.939372675624,016,089,026,008,132,119,143
107,7,0.038499041896371655,41713.10394364476,41778.913148395826,038,085,037,199,143,044,136
108,7,0.0403408783798237,41660.15242497918,41725.96162973024,039,076,155,058,166,064,134
109,7,0.05103034451215849,41350.81685716465,41416.62606191572,159,007,013,051,123,001,122
110,7,0.04306438984327743,41581.666825542874,41647.47603029394,168,006,106,047,032,066,163
111,7,0.029486733721979075,41970.74770696036,42036.55691171143,174,105,117,070,035,068,094
112,7,0.04053824037076159,41654.47237760518,41720.28158235625,172,184,123,062,075,094,133
113,7,0.058316167216671655,41137.97375603926,41203.782960790326,195,119,188,003,150,161,121
114,7,0.030662885892517977,41937.25994661542,42003.069151366486,194,118,169,185,175,109,012
115,7,0.028178103142964095,42007.95976821958,42073.76897297065,166,156,049,067,044,078,198
116,7,0.04137393704262993,41630.408202358485,41696.21740710955,187,024,168,016,183,037,157
117,7,0.045374191089657234,41514.92818808299,41580.73739283405,137,021,119,123,042,089,151
118,7,0.04410763054622191,41551.54374242598,41617.352947177045,172,178,187,055,134,127,195
119,7,0.053505246982954446,41278.700551348345,41344.50975609941,163,049,013,026,103,151,068
120,7,0.022432350972147352,42170.75447673117,42236.563681482236,129,001,015,124,168,130,104
121,7,0.06323108032294267,40993.46061893898,41059.26982369005,198,187,119,167,140,037,101
122,7,0.09319190863741733,40095.78063839913,40161.58984315019,072,074,079,121,097,115,057
123,7,0.045831106297610336,41501.70710086333,41567.516305614394,045,084,153,113,178,124,163
124,7,0.04494091810570566,41527.459330773316,41593.26853552438,199,040,088,140,116,035,115
125,7,0.07597934516658966,40615.06040114507,40680.869605896136,182,082,192,088,045,091,013
126,7,0.052070095691131635,41320.54243247422,41386.351637225285,062,004,078,132,007,174,167
127,7,0.039508064440475166,41684.10782276437,41749.91702751543,195,178,174,115,151,124,025
128,7,0.04530566659264301,41516.91043555257,41582.719640303636,045,114,096,031,062,168,158
129,7,0.03814219281685938,41723.35137586672,41789.16058061778,146,080,130,027,190,183,167
130,7,0.032593941998009135,41882.190112009586,41947.99931676065,014,164,077,034,084,131,116
131,7,0.04729971410476741,41459.169226052305,41524.97843080337,155,021,034,178,174,147,160
132,7,0.04080362635943058,41646.832768043954,41712.64197279502,118,055,044,124,011,116,127
133,7,0.028866489428919007,41988.39114981928,42054.20035457035,125,144,129,116,107,062,032
134,7,0.04199657588177952,41612.46545974413,41678.2746644952,196,167,132,113,056,119,042
135,7,0.06879857013199397,40828.84103181772,40894.650236568785,193,121,019,025,000,182,052
136,7,0.06413383182738497,40966.83462262002,41032.64382737109,065,079,117,060,027,045,098
137,7,0.03770490008417182,41735.90368007212,41801.71288482319,049,083,146,157,033,006,178
138,7,0.048133299218091063,41434.995449944145,41500.80465469521,129,049,055,013,085,141,142
139,7,0.05130997255092651,41342.678192425185,41408.48739717625,171,058,193,076,017,114,190
140,7,0.024739085123965388,42105.51290750976,42171.32211226082,077,060,094,057,103,027,107
141,7,0.05830181737530393,41138.39457902257,41204.203783773635,116,085,115,108,099,121,158
142,7,0.05395400039397058,41265.604110055116,41331.41331480618,051,089,047,019,038,158,087
143,7,0.03347109899126033,41857.13904286805,41922.94824761912,182,043,035,016,054,172,129
144,7,0.06390323935812481,40973.63822066705,41039.44742541812,193,033,021,094,151,188,062
145,7,0.04160299987184257,41623.80859566261,41689.617800413675,195,157,032,199,085,070,029
146,7,0.045307259119269694,41516.86436923535,41582.673573986416,170,163,161,012,175,123,041
147,7,0.04118085234431268,41635.97000617664,41701.77921092771,050,007,121,076,146,071,078
148,7,0.03880552380372271,41704.29984053606,41770.10904528713,074,134,191,161,039,050,088
149,7,0.040714012474348915,41649.41270008015,41715.22190483122,184,061,015,176,070,156,053
150,7,0.0662592206898509,40904.04627644984,40969.8554812009,073,051,014,081,072,127,016
151,7,0.04574197832094373,41504.2865637556,41570.09576850667,165,185,151,067,092,130,176
