,num_topics,evidence_r2,2,3,4,5
0,4,0.050434044303792724,041,169,046,102
1,4,0.08037702662299973,062,023,189,117
2,4,0.04596023940480576,055,137,067,166
3,4,0.08825960542730127,169,063,142,003
4,4,0.00835678749697455,167,130,165,012
5,4,0.1706244167327421,120,052,174,191
6,4,0.07142997589845146,119,088,124,094
7,4,0.012190817418289979,167,027,064,198
8,4,0.044829818161197355,188,116,073,021
9,4,0.09395519861901414,029,052,138,023
10,4,0.044847457611790764,119,185,014,182
11,4,0.021376010940690304,094,029,056,117
12,4,0.025497950953348725,160,008,165,098
13,4,0.0417863655652253,052,159,158,185
14,4,0.08193744921131563,005,013,173,131
15,4,0.024001380729446242,096,172,153,083
16,4,0.03871462680137017,144,103,019,123
17,4,0.04360499747094615,034,042,199,167
18,4,0.0975502632366062,007,118,037,065
19,4,0.032109437135909746,027,102,048,032
20,4,0.07039557074111591,140,164,068,177
21,4,0.03928246760108278,188,170,042,082
22,4,0.14074727795037212,113,060,091,023
23,4,0.12060013731118846,164,193,091,104
24,4,0.1426478010395852,013,120,050,115
25,4,0.12273448722478708,101,031,141,151
26,4,0.08315234261416038,029,153,022,097
27,4,0.11203523450618502,022,138,148,053
28,4,0.027033966405412446,192,005,092,137
29,4,0.006397921749125013,061,067,057,156
30,4,0.014815335373791316,105,060,195,031
31,4,0.09279873703677799,005,156,195,091
32,4,0.1734457851776111,091,157,064,034
33,4,0.1079451520257666,101,161,031,025
34,4,0.154135851446761,103,004,101,065
35,4,0.08525789678207951,117,023,041,044
36,4,0.029446921286757077,043,159,194,104
37,4,0.02242956746201108,063,122,027,115
38,4,0.08205843854260542,065,189,140,047
39,4,0.02611891257179677,104,191,161,192
40,4,0.11190744416918019,105,125,173,089
41,4,0.024350651214078645,004,078,149,037
42,4,0.030307490604722265,115,006,013,163
43,4,0.15692038070445913,089,118,091,151
44,4,0.04896961493562646,059,034,122,137
45,4,0.19089858095373125,110,091,173,003
46,4,0.14511483292400063,073,163,065,171
47,4,0.18768944019406364,109,156,157,124
48,4,0.0788318209152038,053,098,012,076
49,4,0.008058722156496279,050,199,166,105
50,4,0.044778510043512965,015,038,148,034
51,4,0.09272817957543944,023,133,058,110
52,4,0.01785519077473996,087,166,191,041
53,4,0.023630879339076927,188,063,081,051
54,4,0.12621657601672964,193,053,173,011
55,4,0.172448027465948,115,096,130,157
56,4,0.09534033063989311,193,134,062,078
57,4,0.012265445558129695,035,168,071,058
58,4,0.11926559173634754,097,072,164,027
59,4,0.045767412143905006,152,025,043,182
60,4,0.173798706070037,157,096,159,058
61,4,0.08067779626326488,113,042,022,103
62,4,0.01327952527642573,051,066,137,081
63,4,0.08239085224765441,087,168,053,063
64,4,0.0672921888486081,193,150,088,083
65,4,0.017101607043073397,070,182,137,041
66,4,0.1038569148683941,027,187,109,172
67,4,0.005330907363520487,190,165,156,057
68,4,0.028941232275255024,156,163,184,198
69,4,0.16496649726077128,120,038,143,096
70,4,0.013171518949234295,168,000,074,058
71,4,0.14092617545974206,136,102,003,187
72,4,0.022433012450697176,087,137,014,144
73,4,0.1477769219778936,127,105,025,134
74,4,0.04347104960901782,110,054,077,073
75,4,0.02497786545688796,129,115,004,176
76,4,0.03470042255716743,060,123,048,172
77,4,0.0016395197445812082,075,167,061,196
78,4,0.013752734998021099,001,059,005,177
79,4,0.03018618322250155,182,175,142,040
80,4,0.06640297723146515,166,014,031,053
81,4,0.1755070517627363,018,092,120,125
82,4,0.07169440718715792,072,005,105,170
83,4,0.05483445173482415,102,026,078,034
84,4,0.103036408644394,042,022,168,141
85,4,0.02868212005860582,039,138,044,060
86,4,0.0077034689847503834,125,188,099,050
