,num_topics,evidence_r2,2,3,4,5,6,7
0,6,0.01893335675448715,191,006,063,142,149,012
1,6,0.05389748208665113,158,110,026,106,103,109
2,6,0.12756567975904898,053,018,159,025,096,118
3,6,0.07652734626227697,036,153,055,035,115,082
4,6,0.036597378585765394,188,018,198,159,046,026
5,6,0.10907089827927974,150,191,061,066,134,106
6,6,0.14107942604373302,143,171,101,060,106,031
7,6,0.05925683157027961,076,177,109,074,011,083
8,6,0.1558864812377696,014,085,146,171,081,043
9,6,0.18341124851065616,027,176,054,043,077,120
10,6,0.0889245355858127,153,156,103,017,123,024
11,6,0.024133821245782006,166,039,104,005,008,054
12,6,0.07544413995813792,150,110,092,117,159,188
13,6,0.12607678390382215,160,059,017,040,187,056
14,6,0.11524488630555618,092,056,073,014,036,187
15,6,0.03584877396951569,196,136,001,174,096,143
16,6,0.08360323077849108,057,097,188,012,003,189
17,6,0.08675634178446856,036,092,164,188,107,071
18,6,0.06609484468484039,051,069,033,127,083,113
19,6,0.00838296108168024,160,105,071,181,014,156
20,6,0.060279028378442234,152,109,150,082,156,040
21,6,0.08366549560402037,189,076,106,191,134,058
22,6,0.07217190553664676,159,097,123,057,050,065
23,6,0.08338812669695872,055,061,083,000,075,150
24,6,0.17058233799761024,053,023,006,188,171,119
25,6,0.07625106632665257,159,023,008,161,099,070
26,6,0.06590005585478342,178,110,043,196,008,098
27,6,0.14325072984065013,047,043,061,055,101,012
28,6,0.09249241422301424,104,183,134,106,005,161
29,6,0.13099806502977973,013,062,075,091,008,102
30,6,0.043366490779967015,069,077,194,137,183,119
31,6,0.038949996378894736,125,025,144,016,054,069
32,6,0.11708827369227148,119,058,195,147,101,035
33,6,0.04475781681779911,006,192,107,045,136,131
34,6,0.05990235951326617,079,011,094,159,069,114
35,6,0.03242697486833701,152,123,069,070,130,160
36,6,0.12746332111686598,034,101,138,149,062,014
37,6,0.059772574222173525,017,001,064,081,092,170
38,6,0.04311951816494697,136,176,193,177,031,133
39,6,0.03843139935047735,038,073,195,169,059,066
40,6,0.07836169593140674,034,008,182,027,132,073
41,6,0.08540482534481242,084,057,072,193,163,012
42,6,0.10638868112142164,102,185,175,083,097,146
43,6,0.0594995004797253,110,198,196,060,166,175
44,6,0.0768152113197843,029,196,017,034,199,121
45,6,0.0771830803324719,150,131,176,065,006,018
46,6,0.10172776704035835,101,102,087,191,159,032
47,6,0.1153602549571221,003,146,071,116,158,168
48,6,0.07296210868375996,108,043,182,085,080,013
49,6,0.02513278587132428,181,000,063,160,117,018
50,6,0.21835609638125875,048,191,134,146,177,157
51,6,0.1033925784222538,041,173,196,172,160,025
52,6,0.02355154128941328,181,103,194,079,038,147
53,6,0.07068507182524941,166,065,103,025,090,105
54,6,0.1079236087977109,089,041,053,125,059,183
55,6,0.1959874832136398,072,134,120,044,089,181
56,6,0.10240943230783495,036,114,134,035,016,051
57,6,0.029662352639297285,167,161,088,014,183,129
58,6,0.024745575295044286,178,054,115,107,097,096
