,topic_01,topic_02,topic_03,scenario_r2
0,121,193,031,0.002677047231103735
1,110,099,019,0.004708938539155549
2,133,048,153,0.0072456680688191
3,123,039,062,0.07170575667269352
4,193,067,103,0.002771629246606122
5,195,141,057,0.015733359293980342
6,196,192,103,0.0017784444916425501
7,064,131,052,0.00906768093325172
8,013,195,140,0.0156302995215859
9,042,132,118,0.0017629149695598256
10,057,006,155,0.035198725448696844
11,133,061,157,0.0068872590898511055
12,051,033,070,0.008246541346263347
13,047,079,027,0.0018417020917735893
14,000,087,005,0.028670450559221905
15,183,071,080,0.02070849993449242
16,149,158,036,0.02258624219995886
17,055,080,107,0.02670532524366609
18,088,190,064,0.03149871384932179
19,065,101,177,0.029854943102074483
20,140,036,081,0.003567640606064071
21,106,131,103,0.0066419700015704075
22,140,171,077,0.002666901569773783
23,134,091,004,0.01470422246365799
24,016,042,129,0.014887771997889265
25,188,023,064,0.011170499439130177
26,080,007,104,0.022466912453499188
27,038,058,040,0.0021088671387549107
28,182,144,091,0.004619041955144065
29,097,094,080,0.029661600582351788
30,137,198,057,0.018614984269684
31,114,022,063,0.02387172476146049
32,067,083,082,0.01187405636610317
33,118,089,001,0.02634665154388205
34,161,170,048,0.011325749368531923
35,031,140,116,0.002721931334128347
36,176,133,106,0.008952931283629617
37,113,149,007,0.030211421021608897
38,082,015,014,0.014792165545810976
39,057,032,096,0.010992917930286672
40,057,042,031,0.010142958379533273
41,023,040,158,0.013854129023119444
42,074,059,160,0.009067363016016738
43,096,032,059,0.010375341846470154
44,182,016,046,0.022997622385276695
45,045,103,170,0.012797959419240224
46,049,025,141,0.002006353756839885
47,077,063,061,0.02469497873547244
48,075,175,005,0.031231960701182726
49,177,006,066,0.015043829867440461
50,042,175,152,0.00749556076784319
51,150,124,065,0.006155611082154344
52,137,048,073,0.010273447634248978
53,149,116,000,0.024257641423607534
54,189,011,131,0.009106457546170121
55,174,018,195,0.0337245164064881
56,109,021,138,0.003614402315740173
57,077,184,061,0.004443276252894535
58,007,120,032,0.0027213382617714554
59,080,060,091,0.0249866322321024
60,064,094,063,0.029877418924289523
61,003,063,168,0.03270554511326407
62,173,041,012,0.012539991010666829
63,157,143,136,0.023230912034331697
64,044,188,177,0.02679060463774141
65,045,106,120,0.008039812879407582
66,056,173,066,0.01797726299776692
67,096,033,071,0.007699873970936855
68,087,114,089,0.005740345425322535
69,140,123,176,0.04534071578438437
70,060,052,042,0.010802815047296965
71,080,187,120,0.02298007243338529
72,078,037,072,0.0043764453745746
73,039,129,181,0.025538275181481662
74,115,049,137,0.010506139053461205
75,063,073,072,0.024393490886832847
76,153,023,097,0.011542910411887597
77,156,150,027,0.014604698014237805
78,050,043,137,0.030703969547711263
79,124,146,199,0.0026148390218750928
80,156,199,045,0.017567877215213357
81,055,038,120,0.01636965906674548
82,120,003,085,0.015232454857653455
83,196,023,026,0.02351127537492259
84,115,191,149,0.02163326589122072
85,156,060,131,0.018763286404056667
86,105,108,159,0.00014733847254932986
87,192,150,117,0.0009376643638744353
88,132,000,181,0.01618617668360811
89,127,078,079,0.03563655037794333
90,054,068,019,0.029357411883180196
91,167,187,011,0.0033316921096050445
92,018,073,039,0.012452083877189768
93,008,011,065,0.0034002125610510525
94,131,188,144,0.0027365291666104907
95,062,143,081,0.02296742544031416
96,085,067,023,0.011647947953367654
97,184,142,183,0.003395741750048087
98,123,181,102,0.04715362399806955
99,069,038,183,0.004646750761558627
100,016,059,057,0.021371619350286086
101,120,130,118,0.009184713698720093
102,014,087,190,0.018490837729932763
103,076,062,054,0.04519103192753826
104,098,037,156,0.02926980792308498
105,041,123,146,0.050009762831279336
106,000,141,045,0.0044631668158968685
107,103,183,035,0.003860221841966771
108,115,131,055,0.01330834615197507
109,190,050,196,0.027683706058019397
110,071,027,003,0.013951711282393697
111,125,092,140,0.01169050560000473
112,008,099,140,0.000632297234988366
113,017,046,192,0.03152105305447961
114,108,118,062,0.017518349167708447
115,053,149,156,0.03302896461714666
116,193,039,036,0.010835053037607234
117,198,185,104,0.00516863653406896
118,104,184,029,0.023109205654042175
119,165,199,105,0.0011253914997000347
120,092,065,013,0.01902943203185392
121,159,123,161,0.04695091179684219
122,130,132,144,0.012718977328480263
123,172,097,163,0.003999170264007423
124,012,106,040,0.007761589864004104
125,015,178,039,0.019439294807305996
126,087,144,044,0.016361261250952053
127,011,166,099,0.003341300082423726
128,107,101,060,0.023609122962055307
129,189,164,069,0.01215202157889117
130,187,182,181,0.015450443301776473
131,098,049,137,0.019637576677407287
132,149,017,094,0.024195126884176466
133,052,048,062,0.020226196363329008
134,080,052,077,0.024238162869392843
135,064,122,063,0.025626094158595958
136,161,062,174,0.04050390950767935
137,077,101,074,0.01917204411392548
138,170,058,177,0.02041509901986316
139,106,024,102,0.007150766695059763
140,181,104,043,0.01930395191817158
141,166,089,104,0.002461334390829073
142,171,149,055,0.026993408578278477
143,178,151,189,0.010213958251570898
144,085,169,050,0.02708516009087747
145,165,172,087,0.006229347712130684
146,117,085,148,0.007825854459552861
147,033,175,029,0.029624957780835848
148,183,094,055,0.02513503222810165
149,165,096,064,0.006200102633140525
150,142,051,138,0.0007999846925685894
151,148,166,092,0.015872669037922726
152,055,081,160,0.01434271947551613
153,148,052,178,0.010037377704360084
154,055,082,056,0.02435852325333221
155,029,096,035,0.01965709444189634
156,054,044,196,0.038211600193897244
157,158,032,114,0.005384606997132391
158,178,082,006,0.010899401121000074
159,012,120,131,0.0014367660824534667
160,155,198,026,0.05797623680426678
161,038,061,014,0.002268757911365382
162,181,120,048,0.014772812627051657
163,027,115,034,0.009684030778813746
164,133,063,120,0.024007905750306868
165,144,097,143,0.022415423606418794
166,065,092,159,0.011417701840374272
167,094,013,007,0.01583288506218905
168,132,148,001,0.028669734511661438
169,109,092,141,0.013397287476265118
170,081,136,047,0.013963296280303572
171,129,056,199,0.009642490254270886
172,053,015,042,0.008001016281212858
173,155,183,060,0.0367613095089534
174,181,027,184,0.014966699452226506
175,141,049,018,0.003841994108601532
176,119,123,055,0.05296543698198242
177,114,078,075,0.009087072025722898
178,050,049,164,0.016871877315249306
179,059,187,022,0.006842870330615591
180,063,039,115,0.0443828747743924
181,146,078,196,0.001103360975879042
182,085,039,068,0.01234172595755012
183,163,074,021,0.0061385172888428485
184,193,131,003,0.013074911095376396
185,189,141,182,0.009814703812654701
186,090,125,192,0.0014064955794916845
187,047,195,081,0.009847358797470007
188,123,132,034,0.051475653509105546
189,134,014,029,0.026044284285926866
190,012,015,159,0.010374012601639726
191,024,029,034,0.031144496573631497
192,085,103,058,0.0038738082259189843
193,025,131,037,0.001822421411060593
194,001,177,098,0.03714030073377872
195,181,060,052,0.020035673525297226
196,140,121,079,0.003876511474300015
197,159,038,024,0.0016468845576559366
198,075,004,102,0.017532731055460826
199,195,192,094,0.015237670393774327
200,127,097,001,0.05774124630702937
201,166,077,147,0.022639322488331115
202,076,189,015,0.019107746719884244
203,120,043,073,0.008375753409731512
204,079,068,110,0.004071297588996381
205,041,152,032,0.007549621692864994
206,065,047,116,0.0037478133105514067
207,088,081,008,0.020842182983017987
208,032,199,131,0.0025218544731675507
209,036,114,153,0.0039029091735954813
210,094,000,006,0.01036489525576123
211,118,140,196,0.0019095178067832785
212,149,137,104,0.0360044282432721
213,156,088,057,0.030682823018033822
214,088,036,199,0.021311760815652336
215,011,063,146,0.0294095242394814
216,158,041,190,0.018301055614820316
217,129,178,148,0.006778292837344435
218,163,113,125,0.009950052608412308
219,174,007,006,0.02841077647599044
220,033,092,018,0.020879433486308607
221,064,053,147,0.030780272990974966
222,090,065,178,0.0038883307763653008
223,161,163,012,0.005599518066559561
224,004,152,159,0.016078042797157965
225,146,152,167,0.006230955682693828
226,158,063,165,0.026499317391185828
227,071,027,127,0.03653117057781774
228,138,011,084,0.002598648594161479
229,143,013,134,0.02412423329783886
230,072,033,183,0.010181206457028358
231,064,098,051,0.010705457038262978
232,062,023,070,0.025093585391365303
233,134,097,091,0.002626726084922093
234,172,076,167,0.006047189470163583
235,166,148,089,0.007733716629632625
236,026,000,181,0.02716383040079895
237,098,167,102,0.009929102278125601
238,090,085,051,0.0031577427978838335
239,141,121,192,0.004460196749158873
240,130,004,195,0.025289654458205413
241,071,122,134,0.001971233051733745
242,012,120,084,0.0013029847814147733
243,182,168,163,0.010890334150484682
244,003,053,006,0.01320555395026557
245,083,064,188,0.0045260476823111295
246,199,049,077,0.0015521201129500284
247,078,152,013,0.011787600324502545
248,102,193,142,0.0001198798580324123
249,070,056,038,0.008329765964377622
250,037,063,094,0.029610309387895883
251,051,165,096,0.0020624458149738345
252,067,151,031,0.00447027008162082
253,127,076,119,0.042471754412064966
254,120,161,084,0.0002622737845336953
255,005,077,156,0.046148278188640535
256,104,077,094,0.010539515803562272
257,080,073,065,0.024381600687703897
258,121,161,061,0.005141964131948784
259,199,158,142,0.004464280494380857
260,105,082,011,0.007689255374783932
261,190,121,138,0.015474038437544246
262,052,087,129,0.00956529864122535
263,130,155,189,0.049171560397008096
264,047,193,152,0.005950924115012413
265,061,057,070,0.010862375235767163
266,029,013,050,0.036035943778029655
267,107,140,144,0.0038532557216628405
268,155,070,117,0.035893414602531815
269,177,109,188,0.016404531871708428
270,000,175,023,0.011548286016791587
271,183,057,065,0.012525650573614766
272,005,147,149,0.057315537923712134
273,155,052,017,0.030880051194212776
274,187,155,136,0.06736037802314465
275,114,173,124,0.011509680678663647
276,132,146,036,0.0026478828886288275
277,098,114,069,0.011318407198203206
278,035,063,127,0.060393696747082504
279,018,102,081,0.003914174897938105
280,035,005,140,0.027920473193095208
281,026,174,058,0.04142072279362696
282,187,143,027,0.016919594681577665
283,034,152,018,0.014131623325836729
284,092,035,075,0.017505852952784395
285,171,138,047,0.0026340799865204323
286,171,065,148,0.007517270811858934
287,004,164,063,0.032764146607230704
288,125,097,149,0.027128497352461922
289,081,088,001,0.035579157136147566
290,082,169,124,0.02198579582247684
291,118,006,169,0.008581927581539195
292,193,137,066,0.014449816161459239
293,068,062,161,0.02022701635693902
294,047,036,037,0.004693646556680808
295,099,144,136,0.015176832962719322
296,021,195,165,0.009892183084608597
297,140,174,023,0.0342277026301232
298,120,027,073,-0.0004937606554795693
299,049,075,133,0.011847318578344423
300,041,170,120,0.010530289623205014
301,023,062,164,0.025083462283072455
302,122,143,063,0.03156383046433786
303,164,156,096,0.01679817721291832
304,098,005,059,0.03322242946420195
305,141,007,160,0.004305634460008423
306,189,136,039,0.03079774225286236
307,198,012,074,0.0038210879691535915
308,144,116,199,0.004153053593252465
309,013,011,005,0.026246823934494512
310,063,147,133,0.04163003267872367
311,131,034,096,0.009117323589013071
312,193,037,105,0.003158068503844702
313,131,114,029,0.0215916602066637
314,001,136,051,0.03300256247760203
315,043,055,147,0.030856840920059803
316,038,013,116,0.009783657960615866
317,018,113,032,0.013931360867650011
318,194,109,196,0.014697323087446534
319,108,021,059,0.008575258823219079
320,196,072,193,-0.0003539396270104689
321,164,027,172,0.001124769652711466
322,118,085,059,0.008811071831205441
323,012,088,172,0.022726243095596455
324,105,170,199,0.010021247729134708
325,062,183,090,0.01738759659527045
326,101,176,056,0.024546786141952714
327,090,021,026,0.01556153865011689
328,176,152,053,0.00445767022646526
329,073,027,016,0.009933141781665822
330,105,053,195,0.00787648424101517
331,105,150,108,0.0001174890548640839
332,021,105,092,0.01149138498414859
