,num_topics,scenario_r2,2,3,4,5
0,4,0.025972811474436974,041,169,046,102
1,4,0.03418065355581368,062,023,189,117
2,4,0.03080215052079016,055,137,067,166
3,4,0.045142457977055406,169,063,142,003
4,4,0.012287653316866765,167,130,165,012
5,4,0.03242425904599178,120,052,174,191
6,4,0.030660286933696934,119,088,124,094
7,4,0.0061655756036124165,167,027,064,198
8,4,0.0029293561352202735,188,116,073,021
9,4,0.032042984058374246,029,052,138,023
10,4,0.008830434463798165,119,185,014,182
11,4,0.031610812940796484,094,029,056,117
12,4,0.011795959104393905,160,008,165,098
13,4,0.010009517632822096,052,159,158,185
14,4,0.042427951266357566,005,013,173,131
15,4,0.003142689361330997,096,172,153,083
16,4,0.046110795171463104,144,103,019,123
17,4,0.011975721446267573,034,042,199,167
18,4,0.0075064900715450245,007,118,037,065
19,4,0.0014530001114765323,027,102,048,032
20,4,0.02366087105507808,140,164,068,177
21,4,0.013496607607505928,188,170,042,082
22,4,0.025829081638757856,113,060,091,023
23,4,0.0027943999893284,164,193,091,104
24,4,0.019313596611836514,013,120,050,115
25,4,0.017482599312591662,101,031,141,151
26,4,0.02121215516746411,029,153,022,097
27,4,0.005108957200147701,022,138,148,053
28,4,0.043188154153214864,192,005,092,137
29,4,0.021792125653977368,061,067,057,156
30,4,0.016450435219020898,105,060,195,031
31,4,0.04939922962138332,005,156,195,091
32,4,0.014246495375817125,091,157,064,034
33,4,0.019576672646502535,101,161,031,025
34,4,0.03157905550138884,103,004,101,065
35,4,0.02159652253837252,117,023,041,044
36,4,0.01680756815052098,043,159,194,104
37,4,0.025062005700661527,063,122,027,115
38,4,0.014223265124419404,065,189,140,047
39,4,0.0027560881704420392,104,191,161,192
40,4,0.012850677630681151,105,125,173,089
41,4,0.029750065798469838,004,078,149,037
42,4,0.013171345935524603,115,006,013,163
43,4,0.004489271540760953,089,118,091,151
44,4,0.023600586415054914,059,034,122,137
45,4,0.02266630743924103,110,091,173,003
46,4,0.007683450645581513,073,163,065,171
47,4,0.019152844714951156,109,156,157,124
48,4,0.013546174022041613,053,098,012,076
49,4,0.016659864130283086,050,199,166,105
50,4,0.02176867698705287,015,038,148,034
51,4,0.017295868093492373,023,133,058,110
52,4,0.006872414758149592,087,166,191,041
53,4,0.026058870205458606,188,063,081,051
54,4,0.013111533092840855,193,053,173,011
55,4,0.008555040707499018,115,096,130,157
56,4,0.01995396378153813,193,134,062,078
57,4,0.006664377112072684,035,168,071,058
58,4,0.0024624442365664967,097,072,164,027
59,4,0.011735630293638888,152,025,043,182
60,4,0.0012260377988976279,157,096,159,058
61,4,0.011581382960223374,113,042,022,103
62,4,0.014276001119794324,051,066,137,081
63,4,0.030561554824156456,087,168,053,063
64,4,0.022751750607820753,193,150,088,083
65,4,0.014179134768297796,070,182,137,041
66,4,0.0026156676296303916,027,187,109,172
67,4,0.025534738217268482,190,165,156,057
68,4,0.016801463086604018,156,163,184,198
69,4,0.01701372595970141,120,038,143,096
70,4,0.005908305996014107,168,000,074,058
71,4,0.02577131501631924,136,102,003,187
72,4,0.020526911727097308,087,137,014,144
73,4,0.04062417487634096,127,105,025,134
74,4,0.03115497284928348,110,054,077,073
75,4,0.01602534068776096,129,115,004,176
76,4,0.04971696688145155,060,123,048,172
77,4,0.01220895893601226,075,167,061,196
78,4,0.05289116990193121,001,059,005,177
79,4,0.00570574460553952,182,175,142,040
80,4,0.0026162162940192024,166,014,031,053
81,4,0.013043688444884682,018,092,120,125
82,4,0.0277651633501087,072,005,105,170
83,4,0.023254091340367267,102,026,078,034
84,4,0.0051017481936203035,042,022,168,141
85,4,0.023772390564432144,039,138,044,060
86,4,0.01643190050012011,125,188,099,050
87,4,0.011810803612510523,033,117,012,192
88,4,0.01904016245315676,050,027,191,048
89,4,0.011291606806747012,092,122,108,067
90,4,0.01781755512080241,148,059,008,190
91,4,0.0076047345442084024,146,024,124,052
92,4,0.03634410875329952,013,004,130,101
93,4,0.02313251931502891,056,060,036,195
94,4,0.025488303061765194,140,105,001,027
95,4,0.01701235288759717,003,138,144,161
96,4,0.029629698737276056,073,037,098,080
97,4,0.014778624498604898,091,031,130,011
98,4,0.005463595837643109,178,007,161,124
99,4,0.03125841195444057,149,075,034,055
100,4,0.014396006383824322,021,061,015,019
101,4,0.04313387654078549,190,164,101,016
102,4,0.024470390661853192,013,056,198,130
103,4,0.004059124299987227,104,125,144,182
104,4,0.0170006016409614,101,061,188,070
105,4,0.03818764706777955,113,109,054,132
106,4,0.025095880466686316,147,152,153,089
107,4,0.03571884960125882,147,178,194,015
108,4,0.010774531281501964,024,166,015,172
109,4,0.028193251048645673,194,142,029,035
110,4,0.04850159484102956,137,032,125,123
111,4,0.009953628897716005,048,188,092,081
112,4,0.01896043746976872,130,172,016,021
113,4,0.02833691438939534,049,029,069,134
114,4,0.01301320205181955,008,043,109,124
115,4,0.032456777326468345,065,113,195,143
116,4,0.05983752526595476,080,123,053,090
117,4,0.046483463818328574,101,079,062,015
118,4,0.0040040157891377826,142,089,103,053
119,4,0.053294361622403086,102,016,005,062
120,4,0.004200291730629524,166,096,151,065
121,4,0.01182449963059895,125,016,008,000
122,4,0.0062761094906909065,167,051,185,178
123,4,0.005292514610536259,116,011,049,138
124,4,0.054752933339596965,127,174,150,171
125,4,0.013902858803303886,089,003,031,011
126,4,0.009923257939713492,035,102,083,015
127,4,0.018268395015347716,196,057,079,044
128,4,0.009882000943503444,033,077,122,090
129,4,0.0033290838424158142,116,102,183,198
130,4,0.020132132875269493,008,046,107,103
131,4,0.002887177674662178,027,041,066,036
132,4,0.01680103278770695,170,000,075,014
133,4,0.01778279553487827,048,031,044,059
134,4,0.04874929822253049,062,101,087,149
135,4,0.02537232203830697,182,041,064,046
136,4,0.01975009930326621,178,043,056,132
137,4,0.0220703586044807,053,183,046,097
138,4,0.02890061072315686,062,069,098,148
139,4,0.011468983225203289,192,131,013,152
140,4,0.011968056585782594,167,178,113,053
141,4,0.00597253494670813,163,061,120,118
142,4,0.0554360321467855,123,040,006,062
143,4,0.01846783424801468,157,021,055,184
144,4,0.010525615948611677,151,094,150,077
145,4,0.034673104988411474,062,026,152,058
146,4,0.030112891232343397,005,013,182,125
147,4,0.024705947286097985,005,158,175,074
148,4,0.013045483891017118,132,077,165,170
149,4,0.021249675572690974,188,094,181,022
150,4,0.0143448672440748,019,113,027,045
151,4,0.03014301297027755,153,013,169,173
152,4,0.010620278942241712,007,021,066,094
153,4,0.011850763551229382,096,022,182,170
154,4,0.04666652574350605,038,123,166,134
155,4,0.017459640284445133,115,026,019,125
156,4,0.025708472937911564,006,077,085,143
157,4,0.0117229888115713,193,036,191,039
158,4,0.05300999085654112,039,107,029,174
159,4,0.012949918598080368,182,114,121,130
160,4,0.020139952616515355,099,044,189,144
161,4,0.029367030715325537,098,031,174,159
162,4,0.026429271023358236,040,016,101,117
163,4,0.011131277335468814,025,137,048,178
164,4,0.030909621984676283,143,005,076,157
165,4,0.009383405519874155,115,196,082,192
166,4,0.045231857101512896,195,119,155,062
167,4,0.05932296380120472,149,075,105,127
168,4,0.005806892999411506,184,140,045,193
169,4,0.009851530671686093,113,187,172,125
170,4,0.0034934200466487653,084,012,097,151
171,4,0.0255904736936573,036,005,011,153
172,4,0.012499696381038206,133,043,031,120
173,4,0.02424351514170231,146,029,163,047
174,4,0.0039214608863692435,150,166,124,107
175,4,0.01382916572950832,153,192,015,187
176,4,-5.9953932581624514e-05,151,114,102,131
177,4,0.030674126066845497,178,132,055,156
178,4,0.02819511037329714,037,012,174,053
179,4,0.04695290840188404,155,071,122,156
180,4,0.014128854811878089,159,189,025,000
181,4,0.0026957785031525017,081,164,122,120
182,4,0.015546632867878718,121,198,068,195
183,4,0.004060819412826433,153,066,182,178
184,4,0.023630880909449203,080,000,077,133
185,4,0.006291664231665606,048,065,122,032
186,4,0.006011742850702384,158,172,017,191
187,4,0.03935741947219551,005,125,012,117
188,4,0.02434130415824165,049,016,022,088
189,4,0.002295690187909316,114,151,167,166
190,4,0.018805793624130707,143,104,150,184
191,4,0.011862937593153933,077,090,131,034
192,4,0.02341561754340593,151,070,149,170
193,4,0.012308504538871445,065,130,014,141
194,4,0.027581023063691257,049,129,174,161
195,4,0.03039189185850877,008,198,004,156
196,4,0.03467368100613788,117,042,121,005
197,4,0.011766138579719643,033,048,045,065
198,4,0.011042794381642795,098,085,188,066
199,4,0.02016478605890548,044,176,055,096
200,4,0.003258035148039018,000,084,122,070
201,4,0.033893590403689444,080,163,110,094
202,4,0.04302715986137162,143,189,137,057
203,4,0.04104461951788052,069,127,129,110
204,4,0.019324301636104435,110,082,057,051
205,4,0.04109613615359353,039,040,189,147
206,4,0.01928193740479378,016,099,156,077
207,4,0.03569333574755884,108,172,143,173
208,4,0.014576069246971635,055,006,091,192
209,4,0.014101174242325376,024,013,040,109
210,4,0.029161559292575356,092,136,081,185
211,4,0.024115648007580925,165,029,047,036
212,4,0.013774631808086135,172,190,122,066
213,4,0.008773166535277377,115,175,185,133
214,4,0.027425212014122957,008,027,108,005
215,4,0.032749939403142414,163,191,082,088
216,4,0.03813074925633664,004,055,167,137
217,4,0.014573070371697971,195,106,041,125
218,4,0.01538103689265502,017,074,076,016
219,4,0.012447588141956456,019,122,015,041
220,4,0.015844061508908047,052,152,099,173
221,4,0.010251565882751446,138,012,022,075
222,4,0.017447993489742242,187,050,122,105
223,4,0.002205197448439944,072,176,161,183
224,4,0.030642606669067818,043,178,063,031
225,4,0.013481573390800028,039,024,144,089
226,4,0.002131884011580265,182,007,025,125
227,4,0.011802911178133035,038,039,024,188
228,4,0.057830298362493315,063,041,097,123
229,4,0.002737876130637029,096,182,000,171
230,4,0.014142532153974985,011,013,165,015
231,4,0.0008135515390449433,079,115,116,053
232,4,0.008958355679523411,199,061,023,027
233,4,0.012559234561213994,185,053,039,014
234,4,0.00931165250406496,060,061,105,014
235,4,0.014023860520669174,148,185,014,060
236,4,0.006465965869355661,103,018,167,091
237,4,0.06035797714219571,039,087,054,156
238,4,0.00833480857469271,104,056,115,079
239,4,0.027768821728219595,004,019,160,092
240,4,0.048366084628075234,171,155,050,092
241,4,0.003220796210486987,122,027,193,175
242,4,0.021872440511522706,000,062,018,134
243,4,0.045117667380270454,005,021,048,046
244,4,0.011677503121347743,115,091,157,189
245,4,0.025860565901877797,058,113,089,004
246,4,0.0010377742366773912,058,073,006,193
247,4,0.011329265279509948,104,072,198,113
248,4,0.019846871731812543,084,015,136,171
249,4,0.01968967173080982,165,057,117,098
250,4,0.012134908536278632,006,078,066,173
251,4,0.013719443249186725,107,060,153,075
252,4,0.039938259528044084,004,063,184,148
253,4,0.00765429433035314,165,141,152,011
254,4,0.0006885157530794883,027,164,188,022
255,4,0.036952213640323195,113,087,119,063
256,4,0.012613086465016132,106,036,152,138
257,4,0.015043815586260223,168,017,189,087
258,4,0.019845611805252128,055,142,042,116
