,num_topics,scenario_r2,2,3,4,5,6,7
0,6,0.03682988143440824,191,006,063,142,149,012
1,6,0.03178344236086239,158,110,026,106,103,109
2,6,0.005224530005576655,053,018,159,025,096,118
3,6,0.02497397100224963,036,153,055,035,115,082
4,6,0.03176064780461796,188,018,198,159,046,026
5,6,0.014578659780359104,150,191,061,066,134,106
6,6,0.036528976194427076,143,171,101,060,106,031
7,6,0.021192336843708692,076,177,109,074,011,083
8,6,0.009310482283705013,014,085,146,171,081,043
9,6,0.03465603162761799,027,176,054,043,077,120
10,6,0.053140237953115954,153,156,103,017,123,024
11,6,0.04844056700831245,166,039,104,005,008,054
12,6,0.012368953316429065,150,110,092,117,159,188
13,6,0.020375588105678633,160,059,017,040,187,056
14,6,0.023612911803334247,092,056,073,014,036,187
15,6,0.05079393225752393,196,136,001,174,096,143
16,6,0.03370556928217339,057,097,188,012,003,189
17,6,0.012999338394891868,036,092,164,188,107,071
18,6,0.053733474365565526,051,069,033,127,083,113
19,6,0.02659712390345037,160,105,071,181,014,156
20,6,0.033709105521303684,152,109,150,082,156,040
21,6,0.021552347902667246,189,076,106,191,134,058
22,6,0.06078533737944791,159,097,123,057,050,065
23,6,0.0210417619330856,055,061,083,000,075,150
24,6,0.01213433187819124,053,023,006,188,171,119
25,6,0.0076189254652632155,159,023,008,161,099,070
26,6,0.022924667994110304,178,110,043,196,008,098
27,6,0.03949182484409852,047,043,061,055,101,012
28,6,0.03089525413770644,104,183,134,106,005,161
29,6,0.03099666389350164,013,062,075,091,008,102
30,6,0.02899837522556692,069,077,194,137,183,119
31,6,0.03652202588827669,125,025,144,016,054,069
32,6,0.044099434933206894,119,058,195,147,101,035
33,6,0.013898858671651526,006,192,107,045,136,131
34,6,0.012411080386029005,079,011,094,159,069,114
35,6,0.049756101209227466,152,123,069,070,130,160
36,6,0.05279029874616192,034,101,138,149,062,014
37,6,0.04027268329356948,017,001,064,081,092,170
38,6,0.03117810099060636,136,176,193,177,031,133
39,6,0.02852507319638209,038,073,195,169,059,066
40,6,0.011603278570922582,034,008,182,027,132,073
41,6,0.015178840030840468,084,057,072,193,163,012
42,6,0.006115500321577927,102,185,175,083,097,146
43,6,0.012857035125754201,110,198,196,060,166,175
44,6,0.03368525076972195,029,196,017,034,199,121
45,6,0.006653799872301747,150,131,176,065,006,018
46,6,0.022007848675369868,101,102,087,191,159,032
47,6,0.02174251928182236,003,146,071,116,158,168
48,6,0.03098417450173918,108,043,182,085,080,013
49,6,0.03307626099081584,181,000,063,160,117,018
50,6,0.027049081586826396,048,191,134,146,177,157
51,6,0.012347625908669335,041,173,196,172,160,025
52,6,0.037802027554011075,181,103,194,079,038,147
53,6,0.008081411703048769,166,065,103,025,090,105
54,6,0.011079282468832607,089,041,053,125,059,183
55,6,0.02031705555505048,072,134,120,044,089,181
56,6,0.015288448114047948,036,114,134,035,016,051
57,6,0.024823217532229824,167,161,088,014,183,129
58,6,0.036764091127766796,178,054,115,107,097,096
59,6,0.055343858893335485,182,078,170,110,167,127
60,6,0.02356257679133722,171,143,043,007,045,089
61,6,0.03637480522711256,168,035,059,109,137,075
62,6,0.05205033797600078,018,168,108,155,058,072
63,6,0.043714275410075776,005,103,117,189,073,042
64,6,0.03763666125657228,060,165,080,050,108,038
65,6,0.04469081680637854,044,005,024,116,056,164
66,6,0.010734817342282432,196,168,106,120,133,132
67,6,0.005812225652089276,047,014,146,184,084,117
68,6,0.014445577985044755,069,133,192,089,160,185
69,6,0.04363797009070591,094,105,176,155,065,025
70,6,0.026774007198317462,152,140,092,096,098,161
71,6,0.02528349835303645,057,177,171,031,007,151
72,6,0.0435880449059769,140,138,041,012,060,155
73,6,0.018355623997636794,143,118,164,188,195,066
74,6,0.038629978296936485,189,091,133,141,025,054
75,6,0.032360750178314746,080,185,142,173,199,052
76,6,0.01760823998649208,027,168,159,199,101,074
77,6,0.028668571478583482,032,148,132,072,091,055
78,6,0.0148134050735228,124,016,178,183,041,035
79,6,0.03511527730986197,163,189,005,121,000,038
80,6,0.04077748659330327,066,004,175,147,131,035
81,6,0.025992880041839528,104,163,041,044,087,033
