,topic_01,topic_02,topic_03,scenario_r2
0,121,193,031,0.0023878208957804903
1,110,099,019,0.0017171744395059196
2,133,048,153,0.0063708180599886255
3,123,039,062,0.061689493787140726
4,193,067,103,0.0016533860132259548
5,195,141,057,0.008498925346218322
6,196,192,103,0.00019799216420945953
7,064,131,052,0.0034574272465582867
8,013,195,140,0.012186273705525386
9,042,132,118,0.0006585421875268116
10,057,006,155,0.009520281399689967
11,133,061,157,0.007029675655650158
12,051,033,070,0.008340730444006517
13,047,079,027,0.001953997328379975
14,000,087,005,0.005904252896388296
15,183,071,080,0.001890044608010455
16,149,158,036,0.021559790054686223
17,055,080,107,0.025572739816962287
18,088,190,064,0.023789497451142227
19,065,101,177,0.01639789800531699
20,140,036,081,0.0027213332262012724
21,106,131,103,0.005882627416836539
22,140,171,077,0.001178286704419662
23,134,091,004,0.0013912427768311142
24,016,042,129,0.012748038316934496
25,188,023,064,0.007367062582805395
26,080,007,104,0.022156364831248054
27,038,058,040,0.0013349221368064157
28,182,144,091,0.0035811576628376196
29,097,094,080,0.010781433205009017
30,137,198,057,0.011035598648543532
31,114,022,063,-0.0003906945459779543
32,067,083,082,0.002434458855310462
33,118,089,001,0.0025445126894770853
34,161,170,048,0.010516622877510096
35,031,140,116,0.0022883125545963834
36,176,133,106,0.006230056114617799
37,113,149,007,0.029585634449908693
38,082,015,014,0.014953623711921105
39,057,032,096,0.010320764204511002
40,057,042,031,0.009842021318919203
41,023,040,158,0.008551821720855224
42,074,059,160,0.007621190615744289
43,096,032,059,0.0026051882797852866
44,182,016,046,0.010316831976254104
45,045,103,170,0.004378785981463795
46,049,025,141,0.0018664207009726486
47,077,063,061,0.023963105295534803
48,075,175,005,0.009060654506817811
49,177,006,066,0.015033012429804371
50,042,175,152,0.002644363917180814
51,150,124,065,0.002768595336935853
52,137,048,073,0.010483454023985539
53,149,116,000,0.023587754473906042
54,189,011,131,0.00887785588526735
55,174,018,195,0.02921259748956695
56,109,021,138,0.00324237457701515
57,077,184,061,0.002899188743539227
58,007,120,032,0.001067751177642573
59,080,060,091,0.025006289016424876
60,064,094,063,0.013109743228034265
61,003,063,168,0.030094055236156048
62,173,041,012,0.010677010660069097
63,157,143,136,0.014883758881287235
64,044,188,177,0.00902424891385245
65,045,106,120,0.008141766229854963
66,056,173,066,0.01763176602943295
67,096,033,071,0.007900352492258844
68,087,114,089,0.004785656000395044
69,140,123,176,0.04511824974753831
70,060,052,042,0.009780372731584497
71,080,187,120,0.019927125687013936
72,078,037,072,0.004048396390103459
73,039,129,181,0.010084852794953192
74,115,049,137,0.0009015346966575466
75,063,073,072,0.024074899417150575
76,153,023,097,0.00940608445452673
77,156,150,027,0.014814862073754376
78,050,043,137,0.020801961677452963
79,124,146,199,0.0027732285676159707
80,156,199,045,0.014357720773356397
81,055,038,120,0.014491068623188719
82,120,003,085,0.012699932960578808
83,196,023,026,0.007324312522647647
84,115,191,149,0.0014931198051452155
85,156,060,131,0.0189698831694165
86,105,108,159,0.0003300204611629276
87,192,150,117,0.00021905960488632914
88,132,000,181,0.002556865318271706
89,127,078,079,0.03516506756230453
90,054,068,019,0.027816013877181134
91,167,187,011,0.0016685848581124985
92,018,073,039,0.0027545499953318675
93,008,011,065,0.0016495289209328412
94,131,188,144,8.596846599151498e-06
95,062,143,081,0.022913662033479554
96,085,067,023,0.0036227566594000393
97,184,142,183,0.0023918931785331665
98,123,181,102,0.04700604381731954
99,069,038,183,0.0036683252294918978
100,016,059,057,0.013939492233941086
101,120,130,118,0.008609166330270424
102,014,087,190,0.004820271270408183
103,076,062,054,0.02038394247973463
104,098,037,156,0.011037920917245425
105,041,123,146,0.04885446505847335
106,000,141,045,0.0023037880099815444
107,103,183,035,0.0030170584525373023
108,115,131,055,-8.615875549478069e-05
109,190,050,196,0.0278742206318654
110,071,027,003,0.00013318999200018222
111,125,092,140,0.010942050937629233
112,008,099,140,8.953689829371836e-05
113,017,046,192,0.03134278764844378
114,108,118,062,0.001032732355124688
115,053,149,156,0.020094527717006816
116,193,039,036,0.009757973587367519
117,198,185,104,0.00446881232024432
118,104,184,029,0.0027817149605270375
119,165,199,105,0.0007345199956824144
120,092,065,013,0.01161002306559955
121,159,123,161,0.04521387604205451
122,130,132,144,0.010974833319169486
123,172,097,163,0.0008218449134331784
124,012,106,040,0.006219508405507557
125,015,178,039,0.0092762398737809
126,087,144,044,0.007530307660274627
127,011,166,099,0.0028864276597408978
128,107,101,060,0.016264927406669405
129,189,164,069,0.008840594022332726
130,187,182,181,0.0007250074811295804
131,098,049,137,0.008629094120574332
132,149,017,094,0.02019588335392708
133,052,048,062,0.003332696193021789
134,080,052,077,0.024340806283764893
135,064,122,063,0.005699056859376994
136,161,062,174,0.01660574576704643
137,077,101,074,0.01918160838562788
138,170,058,177,0.009591662330760475
139,106,024,102,0.00736259582748422
140,181,104,043,0.013459988263446632
141,166,089,104,0.002472626594945182
142,171,149,055,0.020319922819905578
143,178,151,189,0.0011611962565215572
144,085,169,050,0.009405852014605753
145,165,172,087,0.0010287665393292622
146,117,085,148,0.003076654882743335
147,033,175,029,0.008099059197950287
148,183,094,055,0.010912312282809422
149,165,096,064,0.0018474580447803701
150,142,051,138,0.0005793538824905298
151,148,166,092,0.0060132331860429655
152,055,081,160,0.013202202798426765
153,148,052,178,0.008511334511296598
154,055,082,056,0.01855835396917993
155,029,096,035,0.01967355650289304
156,054,044,196,0.03831328994526639
157,158,032,114,0.005527658507078592
158,178,082,006,0.01028125954603809
159,012,120,131,0.0010711316920840597
160,155,198,026,0.03389813540554909
161,038,061,014,0.002322174306253366
162,181,120,048,0.014653295556692147
163,027,115,034,-0.0003856262813328737
164,133,063,120,0.02399782611345025
165,144,097,143,0.0035981417845305508
166,065,092,159,0.01161002306559955
167,094,013,007,0.014679452879492794
168,132,148,001,0.006012004331983012
169,109,092,141,0.011767600987167781
170,081,136,047,0.013417298069837158
171,129,056,199,0.009756001617083232
172,053,015,042,0.008169324482670492
173,155,183,060,0.03167912962982766
174,181,027,184,0.013476833307277447
175,141,049,018,0.001317570082415842
176,119,123,055,0.04847305206418295
177,114,078,075,0.0012405601299189106
178,050,049,164,0.01589988306851131
179,059,187,022,0.007044013033783991
180,063,039,115,0.044573490777565006
181,146,078,196,0.0012696710487649643
182,085,039,068,0.01142378869679761
183,163,074,021,0.0037737516003883975
184,193,131,003,0.00034766557785426144
185,189,141,182,0.008856673293169415
186,090,125,192,0.0010337013517198734
187,047,195,081,0.009786576943520697
188,123,132,034,0.047060201186745254
189,134,014,029,0.0021242782581687436
190,012,015,159,0.010545242813009614
191,024,029,034,0.022981505962708315
192,085,103,058,0.0033933568854049856
193,025,131,037,0.0006864827788003458
194,001,177,098,0.036015491043259074
195,181,060,052,0.018175165672541738
196,140,121,079,0.003872923485529145
197,159,038,024,0.000256116610714896
198,075,004,102,0.01762513572645452
199,195,192,094,0.008117516249318668
200,127,097,001,0.03801169026116735
201,166,077,147,0.001986595359579457
202,076,189,015,0.01274768888974842
203,120,043,073,0.008088931840364189
204,079,068,110,0.002740453787944075
205,041,152,032,0.005291418346022203
206,065,047,116,0.003486890748873317
207,088,081,008,0.02096487961466942
208,032,199,131,0.001767797770166113
209,036,114,153,0.0017293643737049669
210,094,000,006,0.010436507999364464
211,118,140,196,0.002122449266651283
212,149,137,104,0.03540352591051621
213,156,088,057,0.026864624280901306
214,088,036,199,0.021517949065638198
215,011,063,146,0.025937313280574026
216,158,041,190,0.00495560827538799
217,129,178,148,0.002010145290665788
218,163,113,125,0.009858161176763192
219,174,007,006,0.028308123132939067
220,033,092,018,0.016775667320051868
221,064,053,147,0.0032926600359781677
222,090,065,178,0.0021061162266953204
223,161,163,012,0.0034488049433604173
224,004,152,159,0.015770724011355264
225,146,152,167,0.003735518444395347
226,158,063,165,0.026676389710050152
227,071,027,127,0.00013318999200018222
228,138,011,084,0.002550327003331021
229,143,013,134,0.017513217964946537
230,072,033,183,0.007881451330237987
231,064,098,051,0.010909264752436254
232,062,023,070,0.02466425165613373
233,134,097,091,0.0027231677915312558
234,172,076,167,0.0036736259188201448
235,166,148,089,0.0060132331860429655
236,026,000,181,0.015786160458245324
237,098,167,102,0.010023640754274976
238,090,085,051,0.002760125393990176
239,141,121,192,0.0031384158830529696
240,130,004,195,0.018003870817864476
241,071,122,134,0.00173262813689945
242,012,120,084,0.0010711316920840597
243,182,168,163,0.005237743734957667
244,003,053,006,0.0127209470570393
245,083,064,188,0.004727472662622301
246,199,049,077,0.0007806416011104655
247,078,152,013,0.006048500580621452
248,102,193,142,-0.00017897079616879807
249,070,056,038,0.008171113047429013
250,037,063,094,0.02468158258673947
251,051,165,096,0.001174588942629895
252,067,151,031,0.0014771864700321435
253,127,076,119,0.03835359006279759
254,120,161,084,0.00011376514748639988
255,005,077,156,0.02928275559542004
256,104,077,094,0.0014721899995242538
257,080,073,065,0.019941258445632326
258,121,161,061,0.0029560320263125606
259,199,158,142,0.003917650672649597
260,105,082,011,0.007732005945997766
261,190,121,138,0.01555775675439064
262,052,087,129,0.008287338334767913
263,130,155,189,0.048164730636101716
264,047,193,152,0.0012849001684076544
265,061,057,070,0.011069439555359994
266,029,013,050,0.025106850999242813
267,107,140,144,0.0008289275518873485
268,155,070,117,0.03212993141183862
269,177,109,188,0.01656564064657029
270,000,175,023,0.0037960316541948425
271,183,057,065,0.010954492866214971
272,005,147,149,0.045253898531143144
273,155,052,017,0.030700454626370943
274,187,155,136,0.060349124435683965
275,114,173,124,0.009996855111199743
276,132,146,036,0.0006279795391004317
277,098,114,069,0.008616374678366956
278,035,063,127,0.024799227740985086
279,018,102,081,0.00254619079212115
280,035,005,140,0.024340496769828746
281,026,174,058,0.04162199795213417
282,187,143,027,0.017125296492460307
283,034,152,018,0.012272440264451845
284,092,035,075,0.009972838344141643
285,171,138,047,0.0006637710504594496
286,171,065,148,0.0022676922785701548
287,004,164,063,0.013716406090117261
288,125,097,149,0.0011860315117216969
289,081,088,001,0.02096487961466942
290,082,169,124,0.015868903694420844
291,118,006,169,0.0012025185616116874
292,193,137,066,0.01093782346005201
293,068,062,161,0.01900686899201487
294,047,036,037,0.002991505742735545
295,099,144,136,0.0028565916335304697
296,021,195,165,0.008672097773482657
297,140,174,023,0.02809994998661569
298,120,027,073,-0.00034001402950512016
299,049,075,133,0.007774358520605706
300,041,170,120,0.01059411348333561
301,023,062,164,0.02466425165613373
302,122,143,063,0.014091771512402262
303,164,156,096,0.014786768986665866
304,098,005,059,0.025263038499333423
305,141,007,160,0.00214269604671935
306,189,136,039,0.01855484742586133
307,198,012,074,0.003732083712750578
308,144,116,199,0.004189655865902364
309,013,011,005,0.008107056287738779
310,063,147,133,0.041823335438682
311,131,034,096,0.0090023173046474
312,193,037,105,0.0023916027703927423
313,131,114,029,-1.2427247016333354e-05
314,001,136,051,0.03305149096215598
315,043,055,147,0.016842219421828952
316,038,013,116,0.007762118086454661
317,018,113,032,0.010851924059771645
318,194,109,196,0.014897815765201772
319,108,021,059,0.0016230301010119463
320,196,072,193,-0.00036530207979112994
321,164,027,172,0.0011001066836536788
322,118,085,059,0.003355064879652647
323,012,088,172,0.02134542111980753
324,105,170,199,0.010124155447585825
325,062,183,090,0.017039305835010565
326,101,176,056,0.016066729075180808
327,090,021,026,0.0016982638715505871
328,176,152,053,0.004602153946834386
329,073,027,016,-0.0003228907397334613
330,105,053,195,0.00047680587824616705
331,105,150,108,0.0003030005268517266
332,021,105,092,0.0018518935645580603
333,106,185,068,0.00808991882419352
334,102,144,101,0.00258515568126394
335,193,046,189,0.021857999535453643
336,150,070,091,-0.0003776249807123655
337,156,085,107,0.01658591343228566
338,085,101,017,0.016563993238886243
339,164,062,187,0.01657142798031419
340,024,106,078,0.00736259582748422
341,106,050,127,0.01836010417396472
342,052,196,107,0.003244426625697683
343,113,165,077,0.009991982383621978
344,169,088,089,0.02631741821052591
345,056,187,052,0.009182962746491774
346,069,141,065,0.0037902417919002396
347,169,137,025,0.019860225388330655
348,192,049,064,0.001385826811993618
349,160,014,018,0.003034412260379149
350,133,060,016,0.012105616904825922
351,057,130,087,0.01679785617179952
352,114,023,061,0.007543739587767662
353,189,141,152,0.008856673293169415
354,029,074,115,0.019908462646902603
355,072,166,121,0.0007549951261595078
356,166,125,104,0.001400348144582786
357,133,185,132,0.007881293215942997
358,193,037,021,0.0023916027703927423
359,005,181,082,0.03648854689675618
360,015,102,158,0.007914962361521893
361,182,087,101,0.005065892031217545
362,110,124,161,0.004053662002216574
363,003,013,191,0.018733040977126802
364,072,117,153,0.00012087764855683858
365,170,036,056,0.011348079909900055
366,078,015,038,0.00861039777989181
367,053,167,113,0.0014446045722869005
368,106,026,116,0.022163416720091922
369,056,150,012,0.008348877770273488
370,073,022,117,-0.00034053017093360616
371,116,035,040,0.0013256371321055394
372,187,070,039,-0.00016458228791793594
373,018,038,062,0.0031843648772156286
374,192,016,137,0.011724285191401895
375,038,078,066,0.001493262137681084
376,190,029,068,0.02911136841611195
377,103,105,000,0.0022270534985315837
378,018,081,124,0.0041253155228537786
379,195,092,194,0.0171843820940768
380,021,078,067,0.0027632398832889704
381,165,034,171,0.01011806013945482
382,033,097,037,0.014463573257064488
383,177,070,013,0.015062969399516568
384,068,181,065,0.01553169098720597
385,094,118,075,0.011636562625958469
386,088,043,129,0.023122084908202112
387,152,040,183,0.004018389249247467
388,035,122,061,0.0027923903312251364
389,091,050,189,0.01611357871916297
390,097,157,195,0.0012802109500350545
391,127,094,091,0.045004621095492636
392,157,054,168,0.027831355558257553
393,058,059,098,0.007726800287998992
394,195,024,120,0.010406800471680633
395,087,131,114,0.005070319069208518
396,059,149,148,0.024703242825829697
397,117,130,074,0.007286395455999406
398,109,012,164,0.0028012303617002132
399,131,058,025,0.0007958663322807924
400,129,159,050,0.000895791278094471
401,113,090,196,0.009116545432811485
402,083,167,099,0.001919209092595242
403,175,173,155,0.012855011250669679
404,160,118,121,0.004343116155780424
405,158,116,115,0.005496869984467523
406,170,052,090,0.012856844068101059
407,113,026,105,0.019061281747775327
408,036,072,064,0.0017405564731570733
409,001,022,078,0.024887248387369
410,071,151,171,0.0004980540769387032
411,063,087,146,0.027453995659713182
412,055,018,163,0.016885256329588705
413,016,116,059,0.010602637758262645
414,173,115,031,0.009159702989619989
415,070,166,157,0.0007329184266138267
416,113,170,168,0.021374139784393953
417,056,034,155,0.014193442714167781
418,136,007,069,0.012678091390493695
419,169,101,108,0.022336068711488855
420,032,006,189,0.0014737509549846983
421,199,123,072,0.044812336109639084
422,085,070,022,0.0025095608194781738
423,153,182,121,0.002893169590947542
424,039,140,074,0.010231374418214867
425,096,062,090,0.01561688164601005
426,043,000,085,0.009376654288333786
427,144,184,045,0.00553339072086334
428,148,066,069,0.005517121452756513
429,061,147,019,0.022165361300304443
430,161,189,076,0.009160178095660165
431,184,160,104,0.006428239865071572
432,056,024,021,0.011600821599338729
433,062,054,013,0.03859077088413121
434,035,017,065,0.003719107719060366
435,076,084,177,0.003977123211784339
436,149,133,189,0.020540255782889427
437,026,120,114,0.014846035577398609
438,158,036,049,0.0057930958617050665
439,198,168,123,0.006587885084008205
440,098,199,099,0.008639043302686167
441,120,152,146,0.004001408332102385
442,163,198,062,0.004206594788973894
443,123,087,147,0.046690404203840075
444,046,012,105,0.021216671609464277
445,187,074,155,0.00010793129181652095
446,120,172,140,-0.00016732511145156614
447,108,141,194,0.0006387338900524231
448,077,044,043,0.00818739171863625
449,184,015,116,0.010437545786390001
450,023,104,094,0.007323875674307256
451,070,023,169,0.007347492410757495
452,163,116,142,0.0035707975855843177
453,147,013,191,0.025472868159909012
454,008,152,109,0.003752074634289282
455,062,019,118,0.018153535560239464
456,119,065,182,0.006813571983353972
457,037,039,199,0.012481881350564605
458,053,094,024,0.010347043027222447
459,134,149,058,0.0203090031470331
460,195,051,143,0.007996978449468561
461,130,161,131,0.00751503855103286
462,173,021,133,0.011108643630073911
463,070,109,171,0.0017964506485705911
464,168,187,022,0.004547266730296373
465,029,089,169,0.019460298391320574
466,191,022,173,0.0016716975840088688
467,029,173,031,0.02589433271285302
468,102,152,160,0.0038236337882476823
469,090,057,158,0.010068493894483832
