,num_topics,scenario_r2,2,3,4
0,3,0.018022477537505965,143,190,129
1,3,0.0069468008979057805,078,031,015
2,3,0.004453975481364947,068,109,035
3,3,0.002892141048491448,023,177,152
4,3,0.006373358911522908,005,068,117
5,3,0.0033051375634071123,047,122,168
6,3,0.009037190924108152,198,183,096
7,3,0.013236919480672737,019,054,131
8,3,0.01139676833836667,063,098,047
9,3,0.003973256934160618,198,127,048
10,3,0.013701706299982241,107,136,147
11,3,0.03801561306542367,155,097,058
12,3,0.01630885625981915,134,141,168
13,3,0.010253807519144953,006,132,091
14,3,0.04350411124666964,155,110,113
15,3,0.050169188044067115,108,040,155
16,3,0.008670317603988398,071,134,183
17,3,0.009818351559090943,015,166,187
18,3,0.010523270722890943,110,067,056
19,3,0.013552184297509484,055,090,096
20,3,0.01865688920946529,143,054,124
21,3,0.0023339326298281726,065,015,019
22,3,0.01536259294883846,168,024,158
23,3,0.011908299698696445,121,183,163
24,3,0.008627003701145997,064,110,125
25,3,0.004882380185080137,121,037,113
26,3,0.011039772347626542,110,165,134
27,3,0.012793116821231965,000,190,163
28,3,0.01688490194866632,124,088,133
29,3,0.009730329582705144,170,104,041
30,3,0.008564761855652692,021,103,067
31,3,0.010443895986886997,147,129,069
32,3,0.0029484555786636335,014,176,016
33,3,0.010904852904668694,065,163,004
34,3,0.01946736159536555,150,045,199
35,3,0.007889070305367452,090,124,138
36,3,0.013317682446640444,081,060,141
37,3,0.0028004830340097042,122,047,019
38,3,0.015007114282730938,008,185,001
39,3,0.015852653857988397,000,034,027
40,3,0.006957635618362157,084,158,040
41,3,0.03480103484207864,075,173,035
42,3,0.025526924245129923,069,123,037
43,3,0.027105899030224867,001,184,101
44,3,0.003458453973932074,007,194,192
45,3,0.006800583422759021,040,041,056
46,3,0.0037222422753906415,094,170,018
47,3,0.008583011776802651,050,117,103
48,3,0.0030584713033939837,183,159,019
49,3,0.018944810058444506,181,163,127
50,3,0.02064321830486604,166,006,163
51,3,0.020833619124352554,033,016,185
52,3,0.005932390899303641,190,132,004
53,3,0.032397402741704884,081,173,007
54,3,0.009384936371991781,060,172,088
55,3,0.009617729561958388,090,068,129
56,3,0.0052150576825304995,047,185,199
57,3,0.0005609138901294664,090,039,038
58,3,0.006227078748268444,047,183,088
59,3,0.002856385271105877,184,103,176
60,3,0.006564613294598787,076,167,057
61,3,0.020748851057961204,044,035,046
62,3,0.00340055756844726,042,057,080
63,3,0.0006416439225902515,039,071,140
