,num_topics,scenario_r2,2,3,4,5
0,4,0.007893836130401177,041,169,046,102
1,4,0.019326215801765745,062,023,189,117
2,4,0.020935751601664387,055,137,067,166
3,4,0.006685982028786119,169,063,142,003
4,4,0.00753183619207054,167,130,165,012
5,4,0.024797137018158,120,052,174,191
6,4,0.016888106380940404,119,088,124,094
7,4,0.011324349419308932,167,027,064,198
8,4,0.02000218192156189,188,116,073,021
9,4,0.014713625458476653,029,052,138,023
10,4,0.007795930756410052,119,185,014,182
11,4,0.01637663983901183,094,029,056,117
12,4,0.01507190656777313,160,008,165,098
13,4,0.007027380622529056,052,159,158,185
14,4,0.041654179497643495,005,013,173,131
15,4,0.011444989407570882,096,172,153,083
16,4,0.026552529226059107,144,103,019,123
17,4,0.019250595092742073,034,042,199,167
18,4,0.0024274423860537464,007,118,037,065
19,4,0.0074542403225669185,027,102,048,032
20,4,0.015756075063063868,140,164,068,177
21,4,0.010311966826225705,188,170,042,082
22,4,0.015808674963672553,113,060,091,023
23,4,0.03460443550549175,164,193,091,104
24,4,0.034736437874321235,013,120,050,115
25,4,0.029818928221734264,101,031,141,151
26,4,0.02734375734209893,029,153,022,097
27,4,0.017075887339112472,022,138,148,053
28,4,0.010006404582868389,192,005,092,137
29,4,0.007683707953525798,061,067,057,156
30,4,0.02330895413058398,105,060,195,031
31,4,0.02989570041135614,005,156,195,091
32,4,0.04459661492053124,091,157,064,034
33,4,0.03450940924287538,101,161,031,025
34,4,0.016743095987614698,103,004,101,065
35,4,0.022861219644366493,117,023,041,044
36,4,0.00854819646755689,043,159,194,104
37,4,0.02342660580683653,063,122,027,115
38,4,0.007882229097604165,065,189,140,047
39,4,0.008239441866626174,104,191,161,192
40,4,0.042531650882346894,105,125,173,089
41,4,0.007428354246066249,004,078,149,037
42,4,0.03194001212180242,115,006,013,163
43,4,0.01957885045161456,089,118,091,151
44,4,0.017245519709393697,059,034,122,137
45,4,0.03390651062514094,110,091,173,003
46,4,0.018007822020887243,073,163,065,171
47,4,0.04603686360801973,109,156,157,124
48,4,0.02338088643789149,053,098,012,076
49,4,0.02214736422903618,050,199,166,105
50,4,0.015139615500412873,015,038,148,034
51,4,0.010508827463818649,023,133,058,110
52,4,0.01544203212224371,087,166,191,041
53,4,0.010315556018803185,188,063,081,051
54,4,0.04775293747402776,193,053,173,011
55,4,0.054216676182220036,115,096,130,157
56,4,0.029213345072577668,193,134,062,078
57,4,0.003508151407252913,035,168,071,058
58,4,0.023101651926349942,097,072,164,027
59,4,0.023120212617294578,152,025,043,182
60,4,0.04201939386573961,157,096,159,058
61,4,0.014522587485896521,113,042,022,103
62,4,0.014624337409869126,051,066,137,081
63,4,0.012509447816811847,087,168,053,063
64,4,0.025926652123968053,193,150,088,083
65,4,0.007596596979081771,070,182,137,041
66,4,0.010326291648394714,027,187,109,172
67,4,0.005662806595485237,190,165,156,057
68,4,0.012279881307922125,156,163,184,198
69,4,0.03779838433529714,120,038,143,096
70,4,0.010283548399306786,168,000,074,058
71,4,0.01736517572687546,136,102,003,187
72,4,0.004859943043442061,087,137,014,144
73,4,0.03482818414644673,127,105,025,134
74,4,0.023988968137727773,110,054,077,073
75,4,0.027552183337542835,129,115,004,176
76,4,0.030142174241166053,060,123,048,172
77,4,0.008677204729885535,075,167,061,196
78,4,0.01598383943365289,001,059,005,177
79,4,0.008452558607822014,182,175,142,040
80,4,0.017039265864804642,166,014,031,053
81,4,0.019756822815576558,018,092,120,125
82,4,0.011912370017561291,072,005,105,170
83,4,0.021165354723613028,102,026,078,034
84,4,0.021761456253851286,042,022,168,141
85,4,0.019788235843350654,039,138,044,060
86,4,0.006231841053371157,125,188,099,050
87,4,0.02133435467504019,033,117,012,192
88,4,0.008512427979220916,050,027,191,048
89,4,0.008379330872188673,092,122,108,067
90,4,0.009511004258157985,148,059,008,190
91,4,0.03205348757219961,146,024,124,052
92,4,0.021579547229890417,013,004,130,101
93,4,0.020360414480604327,056,060,036,195
94,4,0.016281969005700003,140,105,001,027
95,4,0.004362600979656905,003,138,144,161
96,4,0.02318872839560815,073,037,098,080
97,4,0.02029172041250471,091,031,130,011
98,4,0.0074673929186372945,178,007,161,124
99,4,0.022545251346682504,149,075,034,055
100,4,0.008608483205379325,021,061,015,019
101,4,0.030338548997961956,190,164,101,016
102,4,0.008617002980079946,013,056,198,130
103,4,0.008311918160123666,104,125,144,182
104,4,0.022552056975672308,101,061,188,070
105,4,0.01623913836645252,113,109,054,132
106,4,0.0014326673430639092,147,152,153,089
107,4,0.003141919440338259,147,178,194,015
108,4,0.022356705427743373,024,166,015,172
109,4,0.017623735735304846,194,142,029,035
110,4,0.02463052979277336,137,032,125,123
111,4,0.00522599755531461,048,188,092,081
112,4,0.007052042844150841,130,172,016,021
113,4,0.02793289141550881,049,029,069,134
114,4,0.014858561689898186,008,043,109,124
115,4,0.021157027232893477,065,113,195,143
116,4,0.030034801058571148,080,123,053,090
117,4,0.03446893796555539,101,079,062,015
118,4,0.010769066385097004,142,089,103,053
119,4,0.01799122287903987,102,016,005,062
120,4,0.022890183300531053,166,096,151,065
121,4,0.0053991935851928075,125,016,008,000
122,4,0.010696711920564206,167,051,185,178
123,4,0.006946969276934167,116,011,049,138
124,4,0.016157926074858886,127,174,150,171
125,4,0.0058380063947433,089,003,031,011
126,4,0.009802546596091477,035,102,083,015
127,4,0.02899118464621675,196,057,079,044
128,4,0.01832192435974378,033,077,122,090
129,4,0.01077360530800453,116,102,183,198
130,4,0.007253430526764415,008,046,107,103
131,4,0.006763882465125826,027,041,066,036
132,4,0.008098242811640621,170,000,075,014
133,4,0.02031939090597301,048,031,044,059
134,4,0.02653849302548228,062,101,087,149
135,4,0.008981707193409849,182,041,064,046
136,4,0.006728179584347793,178,043,056,132
137,4,0.016087951490666108,053,183,046,097
138,4,0.02160893131590169,062,069,098,148
139,4,0.004517114145667356,192,131,013,152
140,4,0.010277112829344404,167,178,113,053
141,4,0.023519262740940072,163,061,120,118
142,4,0.03425740223473517,123,040,006,062
143,4,0.05437552954262592,157,021,055,184
144,4,0.02046465153764232,151,094,150,077
145,4,0.01260912188540364,062,026,152,058
146,4,0.004263373491364075,005,013,182,125
147,4,0.016838639892368334,005,158,175,074
148,4,0.007917984930506883,132,077,165,170
149,4,0.020558070155497377,188,094,181,022
150,4,0.004184318478331006,019,113,027,045
151,4,0.03250550232020033,153,013,169,173
152,4,0.018652986316639253,007,021,066,094
153,4,0.017801513536363722,096,022,182,170
154,4,0.03368984443235035,038,123,166,134
155,4,0.02610431629139509,115,026,019,125
156,4,0.011065339915275474,006,077,085,143
157,4,0.004778238102386867,193,036,191,039
158,4,0.01600435094494501,039,107,029,174
159,4,0.00806939112020022,182,114,121,130
160,4,0.02306180851771622,099,044,189,144
161,4,0.01365841713186633,098,031,174,159
162,4,0.024906138709052228,040,016,101,117
