,num_topics,scenario_r2,2,3,4,5,6,7
0,6,0.010320769691247955,191,006,063,142,149,012
1,6,0.010280249842022582,158,110,026,106,103,109
2,6,0.029768069825742205,053,018,159,025,096,118
3,6,0.02845798230901786,036,153,055,035,115,082
4,6,0.007036460718231052,188,018,198,159,046,026
5,6,0.039853394779886586,150,191,061,066,134,106
6,6,0.031194516631006475,143,171,101,060,106,031
7,6,0.0199887698195923,076,177,109,074,011,083
8,6,0.02449076693686436,014,085,146,171,081,043
9,6,0.03427698911589694,027,176,054,043,077,120
10,6,0.036448626910086546,153,156,103,017,123,024
11,6,0.0316791789785843,166,039,104,005,008,054
12,6,0.02585659497095172,150,110,092,117,159,188
13,6,0.020064880004115992,160,059,017,040,187,056
14,6,0.028985982467518046,092,056,073,014,036,187
15,6,0.027905150506965626,196,136,001,174,096,143
16,6,0.016251582072162263,057,097,188,012,003,189
17,6,0.02064527121172044,036,092,164,188,107,071
18,6,0.03216905042582985,051,069,033,127,083,113
19,6,0.016829992840320496,160,105,071,181,014,156
20,6,0.023072636372947763,152,109,150,082,156,040
21,6,0.023505708511777468,189,076,106,191,134,058
22,6,0.03374060154815284,159,097,123,057,050,065
23,6,0.03119761150456224,055,061,083,000,075,150
24,6,0.019362407453199726,053,023,006,188,171,119
25,6,0.012515256457882762,159,023,008,161,099,070
26,6,0.01933019564657623,178,110,043,196,008,098
27,6,0.03178850885196527,047,043,061,055,101,012
28,6,0.020490826852593513,104,183,134,106,005,161
29,6,0.034557037059332774,013,062,075,091,008,102
30,6,0.012747716694018307,069,077,194,137,183,119
31,6,0.029825557665995928,125,025,144,016,054,069
32,6,0.040411546316198366,119,058,195,147,101,035
33,6,0.015590687462667785,006,192,107,045,136,131
34,6,0.017442146184743823,079,011,094,159,069,114
35,6,0.03307643594413945,152,123,069,070,130,160
36,6,0.03673517546232441,034,101,138,149,062,014
37,6,0.02709610424223896,017,001,064,081,092,170
38,6,0.020428896806963026,136,176,193,177,031,133
39,6,0.037825015099952175,038,073,195,169,059,066
40,6,0.034752419453789596,034,008,182,027,132,073
41,6,0.01752179365343387,084,057,072,193,163,012
42,6,0.03472013367293292,102,185,175,083,097,146
43,6,0.019890832185594953,110,198,196,060,166,175
44,6,0.031952138469286684,029,196,017,034,199,121
45,6,0.01922395962296697,150,131,176,065,006,018
46,6,0.023930274692371634,101,102,087,191,159,032
47,6,0.024901215821165334,003,146,071,116,158,168
48,6,0.004296833956220714,108,043,182,085,080,013
49,6,0.016044568077666188,181,000,063,160,117,018
50,6,0.046004049195539354,048,191,134,146,177,157
51,6,0.05431229641889035,041,173,196,172,160,025
52,6,0.02243506934833217,181,103,194,079,038,147
53,6,0.029595734076715008,166,065,103,025,090,105
54,6,0.01163304922345565,089,041,053,125,059,183
55,6,0.0370807118992893,072,134,120,044,089,181
56,6,0.019433562744607835,036,114,134,035,016,051
57,6,0.015732516565183485,167,161,088,014,183,129
58,6,0.035805551091775634,178,054,115,107,097,096
59,6,0.00959649317381528,182,078,170,110,167,127
60,6,0.010314689011712952,171,143,043,007,045,089
61,6,0.013857690768430242,168,035,059,109,137,075
62,6,0.05241298759256352,018,168,108,155,058,072
63,6,0.022074577867190137,005,103,117,189,073,042
64,6,0.008842894276472557,060,165,080,050,108,038
65,6,0.034154386913642254,044,005,024,116,056,164
