,num_topics,scenario_r2,2,3,4,5,6,7,8
0,7,0.005007898044500747,069,014,043,165,077,058,006
1,7,0.011085519564598023,096,004,107,194,153,039,172
2,7,0.02910804481457463,006,074,116,120,097,087,089
3,7,0.021820408883879927,151,087,122,013,039,134,187
4,7,0.0289271936758545,114,096,031,054,118,033,190
5,7,0.021721171548077067,070,170,018,182,042,152,150
6,7,0.04601765595349583,079,091,120,123,165,032,042
7,7,0.0112229104806707,142,159,118,067,023,071,188
8,7,0.006941281229607799,039,089,138,137,077,153,168
9,7,0.027629948589733444,008,062,189,032,061,143,119
10,7,0.017196722032023937,192,036,156,108,081,064,181
11,7,0.023867007239792515,195,088,000,103,006,035,194
12,7,0.03302341972513412,193,077,163,181,106,121,195
13,7,0.0324564048172854,132,034,089,065,053,148,195
14,7,0.03337468692081336,164,189,042,193,134,131,108
15,7,0.022013051594198307,012,084,107,075,183,035,001
16,7,0.06227563662659097,115,110,183,177,173,001,109
17,7,0.007572391462919992,113,182,063,196,131,077,000
18,7,0.02467198240490842,014,060,026,032,078,044,143
19,7,0.035758990765464405,102,099,159,108,119,101,096
20,7,0.025201879631293833,194,035,066,174,051,172,158
21,7,0.009930423481698258,056,183,071,045,107,170,191
22,7,0.013096373733187061,176,104,177,113,063,018,142
23,7,0.02102969819687661,196,133,088,138,032,053,152
24,7,0.016332509204476597,069,039,004,027,198,016,091
25,7,0.056356422507306214,146,134,188,173,096,021,151
26,7,0.016228648075924945,187,065,060,178,165,133,049
27,7,0.03211133624716267,069,015,088,091,165,073,090
28,7,0.028561895002018,048,141,029,067,143,121,038
29,7,0.03725707110921872,137,025,163,143,178,166,165
30,7,0.012227395432130361,177,035,152,026,076,043,070
31,7,0.03510115308621753,177,147,165,123,017,069,130
32,7,0.062269993192957784,155,150,044,031,081,129,083
33,7,0.04062564638344046,171,061,065,195,091,074,158
34,7,0.016987939549220177,153,071,140,163,070,137,080
35,7,0.02308965241910199,176,147,120,152,110,194,071
36,7,0.035047214794290626,146,076,098,168,087,163,043
37,7,0.014160870659257974,006,148,156,049,053,091,089
38,7,0.0059054748139343305,080,090,106,049,161,012,103
39,7,0.02049681655019797,033,177,172,015,167,121,094
40,7,0.04470571852251881,077,035,155,032,104,041,109
41,7,0.02274829299455927,177,136,051,104,015,087,199
42,7,0.013446736029578021,085,199,064,174,035,171,014
43,7,0.02043780442211174,012,165,140,077,062,029,171
44,7,0.01769409001479949,106,013,171,074,069,055,108
45,7,0.024346976147354926,065,184,091,153,151,074,108
46,7,0.031599047283052406,054,057,091,017,023,185,043
47,7,0.05417806766501243,189,073,155,109,074,014,141
48,7,0.008469080058876033,081,192,085,032,127,170,137
49,7,0.04479937078402485,014,147,055,192,134,163,123
50,7,0.025371527396953142,125,036,099,022,081,082,104
51,7,0.012545448439669982,183,031,058,059,124,106,035
52,7,0.022408510182904795,031,182,013,052,120,005,170
53,7,0.025240072239057665,104,158,163,105,106,074,194
54,7,0.022293482404711296,044,108,158,170,090,037,061
55,7,0.01200331158174639,168,184,199,185,039,171,119
56,7,0.03299864109268491,097,195,188,072,133,019,091
57,7,0.026187099395918345,146,169,133,099,193,007,026
58,7,0.02298847568272111,078,064,125,012,077,053,032
59,7,0.024912462048280126,167,159,007,119,178,044,005
60,7,0.014033412036355997,059,119,065,069,193,081,011
61,7,0.03661854129027253,025,118,149,151,137,001,053
62,7,0.03307763441834566,117,061,034,050,136,176,175
63,7,0.023017899342816284,183,107,039,025,122,138,052
64,7,0.04964627230179719,196,038,174,155,012,124,008
65,7,0.03708100726020125,136,017,070,184,099,165,091
66,7,0.050890786652147524,188,006,167,073,134,155,110
67,7,0.036726796218518265,066,043,164,160,163,076,131
68,7,0.007451827212654694,190,068,011,168,147,063,153
69,7,0.024365018416442896,195,174,013,113,175,122,069
70,7,0.015790220660042098,169,060,074,099,069,109,072
71,7,0.03801632934362731,188,066,070,071,029,150,007
72,7,0.02010384441261248,098,035,042,014,099,029,199
73,7,0.0271091569511821,008,104,038,142,018,025,036
74,7,0.046583965979493325,138,141,192,194,099,066,123
75,7,0.02959158420307284,042,119,108,120,061,144,140
76,7,0.06528172202991678,134,123,164,091,042,157,085
77,7,0.05042550376954813,155,163,127,097,194,044,012
78,7,0.0378198533244366,146,134,055,196,083,069,151
79,7,0.026790043889487247,184,036,131,164,068,142,124
80,7,0.015380514990005034,110,055,178,117,177,171,153
81,7,0.015209987376741063,082,057,175,037,117,140,182
82,7,0.006790656897436298,194,183,089,177,047,041,046
83,7,0.01207619836145235,041,169,149,172,057,117,144
