,coef_name,coef,se,model,effect
0,const,2.9583752421815444,0.0031077237121172243,extra_evidentiary,evidence
1,126,-0.032125903869187664,0.0037608763690194997,extra_evidentiary,evidence
2,139,-0.07249061102643647,0.0042972257532701555,extra_evidentiary,evidence
3,180,0.011156154940824706,0.004545568836362099,extra_evidentiary,evidence
4,112,0.03981368160457836,0.0032243306967976943,extra_evidentiary,evidence
5,135,-0.02855810777393435,0.0032852305931530524,extra_evidentiary,evidence
6,145,-0.009207734983056506,0.0033967979226493744,extra_evidentiary,evidence
7,154,-0.002520779283193216,0.003656565587489772,extra_evidentiary,evidence
0,const,2.9583752421815444,0.002971113738089174,evidentiary,evidence
1,002,0.07101681303747795,0.004003011215623293,evidentiary,evidence
2,010,-0.011685704971692787,0.003450373106493125,evidentiary,evidence
3,086,0.012001827538878775,0.0042147555083623745,evidentiary,evidence
4,128,0.0051265940504550585,0.00368130976305046,evidentiary,evidence
5,186,0.0396587222879806,0.0036849828048110362,evidentiary,evidence
6,197,0.027356422761272023,0.0043517793258696065,evidentiary,evidence
7,028,0.04674143311902797,0.003701149475904666,evidentiary,evidence
8,030,-0.013824725786852256,0.00340326187236887,evidentiary,evidence
9,100,-0.02189609979033818,0.003194734347067384,evidentiary,evidence
10,111,0.025814520038148242,0.0035080133101776526,evidentiary,evidence
11,009,0.10798221291466543,0.005044727253098748,evidentiary,evidence
12,093,-0.019839876470684636,0.005064150922484606,evidentiary,evidence
13,095,0.025547362543179294,0.004769948425699603,evidentiary,evidence
14,162,0.0037508912846971002,0.004439635325963969,evidentiary,evidence
15,020,-0.019412312981142602,0.004071740213649498,evidentiary,evidence
16,179,0.013074163061270683,0.004171653757891286,evidentiary,evidence
0,const,2.9583752421815444,0.00301404387910347,narrative,evidence
1,028,0.06839946203204934,0.003629761166772308,narrative,evidence
2,030,-0.02381503044643797,0.003404853551835844,narrative,evidence
3,100,-0.032634648777145156,0.0031324335850077827,narrative,evidence
4,111,0.01439062258772153,0.0035148553339789885,narrative,evidence
5,009,0.11528804211358389,0.005079200449879464,narrative,evidence
6,093,-0.03720866676661909,0.005074067294213283,narrative,evidence
7,095,0.02245728556143702,0.00482926641913464,narrative,evidence
8,162,0.006603171824116554,0.0044587895350133196,narrative,evidence
9,020,-0.0017699719896569488,0.003917415422083169,narrative,evidence
10,179,0.031511790841198435,0.003985840433028746,narrative,evidence
0,const,2.9583752421815444,0.003085966234842656,utility,evidence
1,002,0.10406752373815703,0.003950977194246784,utility,evidence
2,010,-0.01883711070524609,0.003471276343498732,utility,evidence
3,086,-0.015492240529516112,0.0040092648098658005,utility,evidence
4,128,-0.02085410152422519,0.0037131918385900045,utility,evidence
5,186,0.04996934298074368,0.0037576441350844108,utility,evidence
6,197,0.00526977388706211,0.004337457269331242,utility,evidence
0,const,2.9583752421815444,0.003120947354939511,affect,evidence
1,126,-0.03904227571684497,0.0037116008333422617,affect,evidence
2,139,-0.06279470512282635,0.004108403699069412,affect,evidence
3,180,0.006841516424773806,0.00439891626645538,affect,evidence
0,const,2.9583752421815444,0.0031419196183814203,moral_judgment,evidence
1,112,0.03453048959407114,0.00323992758544412,moral_judgment,evidence
2,135,-0.024994153803343792,0.0032511487896858733,moral_judgment,evidence
3,145,-0.013299573163242269,0.0033451042933631517,moral_judgment,evidence
4,154,-0.032055595136123737,0.003455952340760217,moral_judgment,evidence
0,const,2.9583752421815444,0.0030806239216270444,exp_cult_recall_narrative,evidence
1,028,0.09399831969081253,0.0035586871702942666,exp_cult_recall_narrative,evidence
2,030,-0.04508655072064762,0.0033153029771450016,exp_cult_recall_narrative,evidence
3,100,-0.01481205817645688,0.0030982081890791264,exp_cult_recall_narrative,evidence
4,111,0.05044590561133747,0.0033500543345440117,exp_cult_recall_narrative,evidence
0,const,2.9583752421815444,0.003055026703513165,reading_narrative,evidence
1,009,0.14658508410959054,0.004870919159037505,reading_narrative,evidence
2,093,-0.047745247349851055,0.004997462057145271,reading_narrative,evidence
3,095,0.024859947276790834,0.004811219203188883,reading_narrative,evidence
4,162,0.0012569494437098278,0.004385465797330831,reading_narrative,evidence
0,const,2.958375242181545,0.003142875651826993,wm_narrative,evidence
1,020,-0.009568262474410949,0.004046572407948588,wm_narrative,evidence
2,179,0.059727848746798665,0.004046572407948588,wm_narrative,evidence
0,const,2.9583752421815444,0.0030990451545848782,utility_probability,evidence
1,002,0.10902336854232288,0.0039017406025116616,utility_probability,evidence
2,086,-0.011799075097338787,0.003884269417635891,utility_probability,evidence
3,128,-0.0012259172024166112,0.003116908209633324,utility_probability,evidence
0,const,2.9583752421815444,0.0031338211602358747,utility_value,evidence
1,010,-0.039905424498964066,0.0033347604514783165,utility_value,evidence
2,186,0.0669208872711577,0.0036915375990893623,utility_value,evidence
3,197,-0.030672957023543283,0.003830020358212832,utility_value,evidence
0,const,2.958375242181545,0.0031521061480591023,moral_judgement_social,evidence
1,145,-0.0076150116040773624,0.00332156382060862,moral_judgement_social,evidence
2,154,-0.03340803938980299,0.0033215638206086197,moral_judgement_social,evidence
0,const,2.958375242181545,0.0031493918158504793,moral_judgement_mj,evidence
1,112,0.0257072864406968,0.003149394767747777,moral_judgement_mj,evidence
2,135,-0.03381691695630684,0.003149394767747777,moral_judgement_mj,evidence
0,const,2.958375242181545,0.003158691060168116,exp_cult_recall_narrative_cult_id_bias,evidence
1,030,-0.005151599650205042,0.003174657223758625,exp_cult_recall_narrative_cult_id_bias,evidence
2,100,-0.012163359372488532,0.0031746572237586223,exp_cult_recall_narrative_cult_id_bias,evidence
0,const,2.958375242181545,0.003092839439707421,exp_cult_recall_narrative_recall,evidence
1,028,0.07705536141267555,0.0033608939218417607,exp_cult_recall_narrative_recall,evidence
2,111,0.050630716250171307,0.0033608939218417633,exp_cult_recall_narrative_recall,evidence
